Rank 38249: 8005 - [10330, 7259, 710] - HP: 1292, STR: 128248, VIT: 77254, SPD: 8, LUK: 2, Attack: 220434, Defense: 164822, Current HP: 1292, A Avg: 275542, D Avg: 197786, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 68, 806]]
Rank 38257: 182 - [10728, 6073, 1498] - HP: 187253, STR: 55841, VIT: 77310, SPD: 8, LUK: 1, Attack: 145750, Defense: 164878, Current HP: 187253, A Avg: 153037, D Avg: 164878, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38257: 6755 - [10205, 7642, 452] - HP: 31692, STR: 128248, VIT: 51654, SPD: 8, LUK: 2, Attack: 220434, Defense: 139222, Current HP: 31692, A Avg: 330651, D Avg: 139222, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 67, 68]]
Rank 38258: 259 - [10301, 7355, 643] - HP: 92302, STR: 55858, VIT: 102918, SPD: 8, LUK: 2, Attack: 145767, Defense: 190486, Current HP: 92302, A Avg: 153055, D Avg: 190486, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 38259: 5798 - [10935, 5454, 1910] - HP: 97710, STR: 102422, VIT: 25976, SPD: 8, LUK: 1, Attack: 194608, Defense: 113011, Current HP: 97710, A Avg: 204338, D Avg: 158215, [Big Bang[171, 130, 130, 230], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 330, 806, 807]]
Rank 38260: 6994 - [10511, 6727, 1061] - HP: 47473, STR: 76822, VIT: 76958, SPD: 8, LUK: 1, Attack: 169008, Defense: 166736, Current HP: 47473, A Avg: 177458, D Avg: 233430, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38265: 3088 - [10088, 8001, 210] - HP: 1710, STR: 51222, VIT: 153976, SPD: 8, LUK: 1, Attack: 143408, Defense: 241011, Current HP: 1710, A Avg: 180694, D Avg: 241011, [Big Bang[171, 230, 230, 330], Warrior's Shield[249, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38265: 3098 - [10088, 8001, 210] - HP: 1710, STR: 51222, VIT: 153976, SPD: 8, LUK: 1, Attack: 143408, Defense: 241011, Current HP: 1710, A Avg: 179260, D Avg: 241011, [Big Bang[171, 230, 230, 330], Warrior's Shield[249, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38269: 5727 - [10719, 6112, 1468] - HP: 93873, STR: 102200, VIT: 26046, SPD: 8, LUK: 1, Attack: 201466, Defense: 113614, Current HP: 93873, A Avg: 253847, D Avg: 136336, [Sword of Evil[189, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 38271: 3080 - [10088, 8007, 204] - HP: 152, STR: 44844, VIT: 153766, SPD: 8, LUK: 2, Attack: 144110, Defense: 243544, Current HP: 152, A Avg: 181578, D Avg: 243544, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38271: 3081 - [10088, 8007, 204] - HP: 203, STR: 44828, VIT: 153758, SPD: 8, LUK: 1, Attack: 144094, Defense: 243536, Current HP: 203, A Avg: 181558, D Avg: 243536, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38271: 3090 - [10088, 8007, 204] - HP: 152, STR: 44844, VIT: 153766, SPD: 8, LUK: 2, Attack: 144110, Defense: 243544, Current HP: 152, A Avg: 180137, D Avg: 243544, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38271: 3091 - [10088, 8007, 204] - HP: 203, STR: 44828, VIT: 153758, SPD: 8, LUK: 1, Attack: 144094, Defense: 243536, Current HP: 203, A Avg: 180117, D Avg: 243536, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38277: 2533 - [10125, 7902, 272] - HP: 31122, STR: 60845, VIT: 128166, SPD: 8, LUK: 2, Attack: 153031, Defense: 217944, Current HP: 31122, A Avg: 160682, D Avg: 217944, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38277: 2583 - [10125, 7902, 272] - HP: 31122, STR: 60845, VIT: 128166, SPD: 8, LUK: 2, Attack: 153031, Defense: 217944, Current HP: 31122, A Avg: 160682, D Avg: 217944, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38277: 3082 - [10088, 8013, 198] - HP: 1653, STR: 55841, VIT: 154110, SPD: 8, LUK: 1, Attack: 145750, Defense: 241678, Current HP: 1653, A Avg: 183645, D Avg: 241678, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38277: 3086 - [10088, 8013, 198] - HP: 1943, STR: 54593, VIT: 154046, SPD: 8, LUK: 1, Attack: 146779, Defense: 241614, Current HP: 1943, A Avg: 184941, D Avg: 241614, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38277: 3089 - [10088, 8013, 198] - HP: 1102, STR: 55858, VIT: 154118, SPD: 8, LUK: 2, Attack: 145767, Defense: 241686, Current HP: 1102, A Avg: 183666, D Avg: 241686, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38277: 3092 - [10088, 8013, 198] - HP: 1653, STR: 55841, VIT: 154110, SPD: 8, LUK: 1, Attack: 145750, Defense: 241678, Current HP: 1653, A Avg: 182187, D Avg: 241678, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38277: 3096 - [10088, 8013, 198] - HP: 1943, STR: 54593, VIT: 154046, SPD: 8, LUK: 1, Attack: 146779, Defense: 241614, Current HP: 1943, A Avg: 183473, D Avg: 241614, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38277: 3097 - [10088, 8013, 198] - HP: 1073, STR: 47800, VIT: 154046, SPD: 8, LUK: 1, Attack: 147066, Defense: 241614, Current HP: 1073, A Avg: 183832, D Avg: 241614, [Sword of Evil[189, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38277: 3099 - [10088, 8013, 198] - HP: 1102, STR: 55858, VIT: 154118, SPD: 8, LUK: 2, Attack: 145767, Defense: 241686, Current HP: 1102, A Avg: 182208, D Avg: 241686, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38278: 3075 - [10088, 8014, 197] - HP: 1292, STR: 64248, VIT: 154054, SPD: 8, LUK: 2, Attack: 156434, Defense: 241622, Current HP: 1292, A Avg: 164255, D Avg: 241622, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38278: 3087 - [10088, 8014, 197] - HP: 1073, STR: 47800, VIT: 154046, SPD: 8, LUK: 1, Attack: 147066, Defense: 241614, Current HP: 1073, A Avg: 185303, D Avg: 241614, [Sword of Evil[189, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38278: 3115 - [10088, 8014, 197] - HP: 1292, STR: 64248, VIT: 154054, SPD: 8, LUK: 2, Attack: 156434, Defense: 241622, Current HP: 1292, A Avg: 164255, D Avg: 289946, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38278: 3125 - [10088, 8014, 197] - HP: 1292, STR: 64248, VIT: 154054, SPD: 8, LUK: 2, Attack: 156434, Defense: 241622, Current HP: 1292, A Avg: 164255, D Avg: 241622, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38279: 3105 - [10088, 8015, 196] - HP: 1292, STR: 64248, VIT: 154054, SPD: 8, LUK: 2, Attack: 156434, Defense: 241622, Current HP: 1292, A Avg: 168166, D Avg: 241622, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38279: 5722 - [10744, 6047, 1508] - HP: 94453, STR: 110241, VIT: 26110, SPD: 8, LUK: 1, Attack: 200150, Defense: 113678, Current HP: 94453, A Avg: 252189, D Avg: 136413, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 38281: 2563 - [10127, 7900, 272] - HP: 31122, STR: 60845, VIT: 128166, SPD: 8, LUK: 2, Attack: 153031, Defense: 217944, Current HP: 31122, A Avg: 164508, D Avg: 217944, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38288: 1222 - [11546, 3650, 3103] - HP: 187253, STR: 83041, VIT: 26110, SPD: 8, LUK: 1, Attack: 172950, Defense: 113678, Current HP: 187253, A Avg: 217917, D Avg: 113678, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 38290: 1488 - [10842, 5764, 1693] - HP: 145710, STR: 128022, VIT: 376, SPD: 8, LUK: 1, Attack: 220208, Defense: 87411, Current HP: 145710, A Avg: 236723, D Avg: 87411, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 230, 230, 803]]
Rank 38291: 6846 - [10487, 6830, 982] - HP: 48343, STR: 108993, VIT: 51646, SPD: 8, LUK: 1, Attack: 201179, Defense: 139214, Current HP: 48343, A Avg: 211237, D Avg: 194899, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 806, 807]]
Rank 38292: 1186 - [11521, 3729, 3049] - HP: 187543, STR: 108993, VIT: 446, SPD: 8, LUK: 1, Attack: 201179, Defense: 88014, Current HP: 187543, A Avg: 216267, D Avg: 88014, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 803]]
Rank 38292: 1187 - [11508, 3768, 3023] - HP: 186673, STR: 102200, VIT: 446, SPD: 8, LUK: 1, Attack: 201466, Defense: 88014, Current HP: 186673, A Avg: 216575, D Avg: 88014, [Sword of Evil[189, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 803]]
Rank 38301: 3073 - [10096, 8013, 190] - HP: 722, STR: 60845, VIT: 153766, SPD: 8, LUK: 2, Attack: 153031, Defense: 243544, Current HP: 722, A Avg: 160682, D Avg: 243544, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38301: 3123 - [10096, 8013, 190] - HP: 722, STR: 60845, VIT: 153766, SPD: 8, LUK: 2, Attack: 153031, Defense: 243544, Current HP: 722, A Avg: 160682, D Avg: 243544, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38303: 3103 - [10096, 8015, 188] - HP: 722, STR: 60845, VIT: 153766, SPD: 8, LUK: 2, Attack: 153031, Defense: 243544, Current HP: 722, A Avg: 164508, D Avg: 243544, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38311: 3074 - [10145, 7876, 278] - HP: 1073, STR: 51222, VIT: 153758, SPD: 8, LUK: 1, Attack: 143408, Defense: 243536, Current HP: 1073, A Avg: 150578, D Avg: 243536, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38311: 3124 - [10145, 7876, 278] - HP: 1073, STR: 51222, VIT: 153758, SPD: 8, LUK: 1, Attack: 143408, Defense: 243536, Current HP: 1073, A Avg: 150578, D Avg: 243536, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38315: 2054 - [10351, 7262, 686] - HP: 93873, STR: 51222, VIT: 102558, SPD: 8, LUK: 1, Attack: 143408, Defense: 192336, Current HP: 93873, A Avg: 150578, D Avg: 192336, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38315: 2104 - [10351, 7262, 686] - HP: 93873, STR: 51222, VIT: 102558, SPD: 8, LUK: 1, Attack: 143408, Defense: 192336, Current HP: 93873, A Avg: 150578, D Avg: 192336, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38316: 7965 - [10330, 7326, 643] - HP: 1292, STR: 128248, VIT: 77254, SPD: 8, LUK: 2, Attack: 220434, Defense: 164822, Current HP: 1292, A Avg: 284359, D Avg: 164822, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 67, 803]]
Rank 38318: 1851 - [10365, 7223, 711] - HP: 93003, STR: 147228, VIT: 158, SPD: 8, LUK: 1, Attack: 246494, Defense: 89936, Current HP: 93003, A Avg: 258818, D Avg: 107923, [Sword of Evil[189, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38319: 3114 - [10149, 7872, 278] - HP: 1073, STR: 51222, VIT: 153758, SPD: 8, LUK: 1, Attack: 143408, Defense: 243536, Current HP: 1073, A Avg: 150578, D Avg: 292243, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38320: 5756 - [10754, 6058, 1487] - HP: 94743, STR: 108993, VIT: 26046, SPD: 8, LUK: 1, Attack: 201179, Defense: 113614, Current HP: 94743, A Avg: 251473, D Avg: 136336, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 68, 806]]
Rank 38327: 3085 - [10088, 8063, 148] - HP: 1292, STR: 64248, VIT: 154054, SPD: 8, LUK: 2, Attack: 156434, Defense: 241622, Current HP: 1292, A Avg: 197106, D Avg: 241622, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38327: 3095 - [10088, 8063, 148] - HP: 1292, STR: 64248, VIT: 154054, SPD: 8, LUK: 2, Attack: 156434, Defense: 241622, Current HP: 1292, A Avg: 195542, D Avg: 241622, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38330: 250 - [10339, 7313, 647] - HP: 91352, STR: 44844, VIT: 102566, SPD: 8, LUK: 2, Attack: 144110, Defense: 192344, Current HP: 91352, A Avg: 151315, D Avg: 192344, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 38338: 2570 - [10186, 7780, 333] - HP: 30552, STR: 44844, VIT: 128166, SPD: 8, LUK: 2, Attack: 144110, Defense: 217944, Current HP: 30552, A Avg: 151315, D Avg: 261532, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38343: 3104 - [10145, 7908, 246] - HP: 1073, STR: 51222, VIT: 153758, SPD: 8, LUK: 1, Attack: 143408, Defense: 243536, Current HP: 1073, A Avg: 154163, D Avg: 243536, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38344: 6991 - [10536, 6736, 1027] - HP: 46603, STR: 70428, VIT: 76958, SPD: 8, LUK: 1, Attack: 169694, Defense: 166736, Current HP: 46603, A Avg: 178178, D Avg: 233430, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38350: 3083 - [10098, 8056, 145] - HP: 722, STR: 60845, VIT: 153766, SPD: 8, LUK: 2, Attack: 153031, Defense: 243544, Current HP: 722, A Avg: 192819, D Avg: 243544, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38350: 3093 - [10098, 8056, 145] - HP: 722, STR: 60845, VIT: 153766, SPD: 8, LUK: 2, Attack: 153031, Defense: 243544, Current HP: 722, A Avg: 191288, D Avg: 243544, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38368: 3113 - [10125, 7993, 181] - HP: 722, STR: 60845, VIT: 153766, SPD: 8, LUK: 2, Attack: 153031, Defense: 243544, Current HP: 722, A Avg: 160682, D Avg: 292252, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38370: 1495 - [10341, 7347, 611] - HP: 92492, STR: 160248, VIT: 454, SPD: 8, LUK: 2, Attack: 252434, Defense: 88022, Current HP: 92492, A Avg: 265055, D Avg: 105626, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 230, 806]]
Rank 38375: 186 - [10769, 6068, 1462] - HP: 187543, STR: 54593, VIT: 77246, SPD: 8, LUK: 1, Attack: 146779, Defense: 164814, Current HP: 187543, A Avg: 154117, D Avg: 164814, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38381: 1254 - [11722, 3215, 3362] - HP: 186673, STR: 76822, VIT: 25758, SPD: 8, LUK: 1, Attack: 169008, Defense: 115536, Current HP: 186673, A Avg: 177458, D Avg: 138643, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 38385: 6825 - [10438, 7071, 790] - HP: 31692, STR: 128248, VIT: 51654, SPD: 8, LUK: 2, Attack: 220434, Defense: 139222, Current HP: 31692, A Avg: 236966, D Avg: 167066, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 803, 806]]
Rank 38388: 1236 - [11569, 3681, 3049] - HP: 187543, STR: 81793, VIT: 26046, SPD: 8, LUK: 1, Attack: 173979, Defense: 113614, Current HP: 187543, A Avg: 217473, D Avg: 113614, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 38389: 1237 - [11560, 3709, 3030] - HP: 186673, STR: 75000, VIT: 26046, SPD: 8, LUK: 1, Attack: 174266, Defense: 113614, Current HP: 186673, A Avg: 217832, D Avg: 113614, [Sword of Evil[189, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 38390: 5726 - [10783, 6041, 1475] - HP: 94743, STR: 108993, VIT: 26046, SPD: 8, LUK: 1, Attack: 201179, Defense: 113614, Current HP: 94743, A Avg: 253485, D Avg: 136336, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 38400: 1226 - [11575, 3675, 3049] - HP: 187543, STR: 81793, VIT: 26046, SPD: 8, LUK: 1, Attack: 173979, Defense: 113614, Current HP: 187543, A Avg: 219213, D Avg: 113614, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 38401: 118 - [11803, 2992, 3504] - HP: 241710, STR: 76822, VIT: 25976, SPD: 8, LUK: 1, Attack: 169008, Defense: 113011, Current HP: 241710, A Avg: 177458, D Avg: 113011, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 38401: 2912 - [10330, 7411, 558] - HP: 1653, STR: 137441, VIT: 77310, SPD: 8, LUK: 1, Attack: 227350, Defense: 164878, Current HP: 1653, A Avg: 284187, D Avg: 164878, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 38401: 2919 - [10330, 7411, 558] - HP: 1102, STR: 137458, VIT: 77318, SPD: 8, LUK: 2, Attack: 227367, Defense: 164886, Current HP: 1102, A Avg: 284208, D Avg: 164886, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38405: 2051 - [10374, 7283, 642] - HP: 93003, STR: 44828, VIT: 102558, SPD: 8, LUK: 1, Attack: 144094, Defense: 192336, Current HP: 93003, A Avg: 151298, D Avg: 192336, [Sword of Evil[189, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38405: 2052 - [10368, 7301, 630] - HP: 94453, STR: 55841, VIT: 102910, SPD: 8, LUK: 1, Attack: 145750, Defense: 190478, Current HP: 94453, A Avg: 153037, D Avg: 190478, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38405: 2101 - [10374, 7283, 642] - HP: 93003, STR: 44828, VIT: 102558, SPD: 8, LUK: 1, Attack: 144094, Defense: 192336, Current HP: 93003, A Avg: 151298, D Avg: 192336, [Sword of Evil[189, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38405: 2102 - [10368, 7301, 630] - HP: 94453, STR: 55841, VIT: 102910, SPD: 8, LUK: 1, Attack: 145750, Defense: 190478, Current HP: 94453, A Avg: 153037, D Avg: 190478, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38415: 1227 - [11570, 3705, 3024] - HP: 186673, STR: 75000, VIT: 26046, SPD: 8, LUK: 1, Attack: 174266, Defense: 113614, Current HP: 186673, A Avg: 219575, D Avg: 113614, [Sword of Evil[189, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 38419: 2902 - [10330, 7429, 540] - HP: 1653, STR: 137441, VIT: 77310, SPD: 8, LUK: 1, Attack: 227350, Defense: 164878, Current HP: 1653, A Avg: 286461, D Avg: 164878, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 38419: 2909 - [10330, 7429, 540] - HP: 1102, STR: 137458, VIT: 77318, SPD: 8, LUK: 2, Attack: 227367, Defense: 164886, Current HP: 1102, A Avg: 286482, D Avg: 164886, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38419: 2916 - [10330, 7429, 540] - HP: 1943, STR: 136193, VIT: 77246, SPD: 8, LUK: 1, Attack: 228379, Defense: 164814, Current HP: 1943, A Avg: 285473, D Avg: 164814, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 38422: 2084 - [10391, 7249, 659] - HP: 93873, STR: 51222, VIT: 102558, SPD: 8, LUK: 1, Attack: 143408, Defense: 192336, Current HP: 93873, A Avg: 154163, D Avg: 192336, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38422: 2553 - [10170, 7912, 217] - HP: 31122, STR: 60845, VIT: 128166, SPD: 8, LUK: 2, Attack: 153031, Defense: 217944, Current HP: 31122, A Avg: 191288, D Avg: 217944, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
