Rank 38671: 1901 - [10534, 7069, 696] - HP: 61807, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 61807, A Avg: 262579, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 803]]
Rank 38762: 2333 - [10450, 7412, 437] - HP: 48778, STR: 163419, VIT: 26430, SPD: 32, LUK: 1, Attack: 255605, Defense: 113998, Current HP: 48778, A Avg: 268385, D Avg: 136797, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 38773: 1464 - [10514, 7231, 554] - HP: 92777, STR: 160278, VIT: 838, SPD: 32, LUK: 2, Attack: 252464, Defense: 88406, Current HP: 92777, A Avg: 318104, D Avg: 88406, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 230, 67]]
Rank 38784: 1194 - [11155, 5319, 1825] - HP: 123177, STR: 128278, VIT: 838, SPD: 32, LUK: 2, Attack: 220464, Defense: 88406, Current HP: 123177, A Avg: 231487, D Avg: 106087, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Tears of the Dragon[307, 230, 230, 806]]
Rank 38803: 3097 - [10426, 7525, 348] - HP: 2233, STR: 51246, VIT: 164235, SPD: 32, LUK: 1, Attack: 143432, Defense: 251023, Current HP: 2233, A Avg: 179290, D Avg: 251023, [Big Bang[171, 230, 230, 330], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38805: 2890 - [10813, 6366, 1120] - HP: 1508, STR: 128046, VIT: 77462, SPD: 32, LUK: 1, Attack: 220232, Defense: 167240, Current HP: 1508, A Avg: 231243, D Avg: 167240, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 38805: 2940 - [10813, 6366, 1120] - HP: 1508, STR: 128046, VIT: 77462, SPD: 32, LUK: 1, Attack: 220232, Defense: 167240, Current HP: 1508, A Avg: 231243, D Avg: 167240, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 38808: 3087 - [10426, 7530, 343] - HP: 2233, STR: 51246, VIT: 164235, SPD: 32, LUK: 1, Attack: 143432, Defense: 251023, Current HP: 2233, A Avg: 180724, D Avg: 251023, [Big Bang[171, 230, 230, 330], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38816: 5943 - [11157, 5345, 1797] - HP: 95178, STR: 81819, VIT: 52030, SPD: 32, LUK: 1, Attack: 174005, Defense: 139598, Current HP: 95178, A Avg: 182705, D Avg: 195437, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 806, 807]]
Rank 38827: 13748 - [11871, 3214, 3214] - HP: 2964, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 2964, A Avg: 216819, D Avg: 270785, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 66, 806, 807]]
Rank 38828: 1857 - [10704, 6716, 879] - HP: 95033, STR: 153646, VIT: 1035, SPD: 32, LUK: 1, Attack: 245832, Defense: 87823, Current HP: 95033, A Avg: 258123, D Avg: 105387, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38836: 2932 - [10833, 6337, 1129] - HP: 1218, STR: 129628, VIT: 77526, SPD: 32, LUK: 1, Attack: 219537, Defense: 167304, Current HP: 1218, A Avg: 230513, D Avg: 200764, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 38836: 8017 - [10615, 6991, 693] - HP: 2233, STR: 102446, VIT: 82635, SPD: 32, LUK: 1, Attack: 194632, Defense: 169423, Current HP: 2233, A Avg: 282216, D Avg: 169423, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 68, 807]]
Rank 38852: 299 - [10604, 7040, 655] - HP: 61617, STR: 155244, VIT: 26334, SPD: 32, LUK: 2, Attack: 245153, Defense: 116112, Current HP: 61617, A Avg: 257410, D Avg: 116112, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 38860: 1480 - [11132, 5464, 1703] - HP: 140708, STR: 128046, VIT: 662, SPD: 32, LUK: 1, Attack: 220232, Defense: 90440, Current HP: 140708, A Avg: 236749, D Avg: 90440, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 803]]
Rank 38863: 2577 - [10505, 7348, 446] - HP: 48633, STR: 51246, VIT: 137035, SPD: 32, LUK: 1, Attack: 143432, Defense: 223823, Current HP: 48633, A Avg: 150603, D Avg: 268587, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38871: 13848 - [11880, 3231, 3188] - HP: 2964, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 2964, A Avg: 227144, D Avg: 270785, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 803, 806, 807]]
Rank 38872: 6734 - [10789, 6505, 1005] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 231487, D Avg: 167527, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 66, 806]]
Rank 38881: 7987 - [10626, 7003, 670] - HP: 2233, STR: 102446, VIT: 82635, SPD: 32, LUK: 1, Attack: 194632, Defense: 169423, Current HP: 2233, A Avg: 286109, D Avg: 169423, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 67, 807]]
Rank 38889: 2557 - [10475, 7464, 360] - HP: 48633, STR: 51246, VIT: 137035, SPD: 32, LUK: 1, Attack: 143432, Defense: 223823, Current HP: 48633, A Avg: 179290, D Avg: 223823, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38894: 376 - [10465, 7499, 335] - HP: 50415, STR: 179246, VIT: 25928, SPD: 32, LUK: 1, Attack: 271432, Defense: 113353, Current HP: 50415, A Avg: 285003, D Avg: 113353, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 38896: 2547 - [10477, 7465, 357] - HP: 48633, STR: 51246, VIT: 137035, SPD: 32, LUK: 1, Attack: 143432, Defense: 223823, Current HP: 48633, A Avg: 180724, D Avg: 223823, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38910: 348 - [10526, 7332, 441] - HP: 63764, STR: 63082, VIT: 154840, SPD: 38, LUK: 1, Attack: 148895, Defense: 244618, Current HP: 63764, A Avg: 156339, D Avg: 244618, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 330]]
Rank 38913: 5755 - [11055, 5748, 1496] - HP: 94308, STR: 110319, VIT: 25654, SPD: 32, LUK: 1, Attack: 202505, Defense: 113482, Current HP: 94308, A Avg: 253131, D Avg: 136178, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 68, 806]]
Rank 38915: 2920 - [10817, 6464, 1018] - HP: 1508, STR: 128046, VIT: 77462, SPD: 32, LUK: 1, Attack: 220232, Defense: 167240, Current HP: 1508, A Avg: 236749, D Avg: 167240, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 38933: 377 - [10481, 7490, 328] - HP: 48633, STR: 179246, VIT: 28235, SPD: 32, LUK: 1, Attack: 271432, Defense: 115023, Current HP: 48633, A Avg: 285003, D Avg: 115023, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 38936: 7957 - [10653, 6977, 669] - HP: 2233, STR: 102446, VIT: 82635, SPD: 32, LUK: 1, Attack: 194632, Defense: 169423, Current HP: 2233, A Avg: 291948, D Avg: 169423, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 67, 68]]
Rank 38953: 6714 - [10713, 6814, 772] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 275580, D Avg: 139606, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 66, 68]]
Rank 38957: 372 - [10495, 7472, 332] - HP: 47618, STR: 180828, VIT: 26326, SPD: 32, LUK: 1, Attack: 270737, Defense: 116104, Current HP: 47618, A Avg: 284273, D Avg: 116104, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 38960: 6704 - [10714, 6818, 767] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 277784, D Avg: 139606, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 66, 67]]
Rank 38970: 1614 - [11042, 5844, 1413] - HP: 92777, STR: 96278, VIT: 52038, SPD: 32, LUK: 2, Attack: 188464, Defense: 139606, Current HP: 92777, A Avg: 197887, D Avg: 167527, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 39006: 257 - [10757, 6735, 807] - HP: 141433, STR: 51246, VIT: 109835, SPD: 32, LUK: 1, Attack: 143432, Defense: 196623, Current HP: 141433, A Avg: 150603, D Avg: 196623, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39013: 370 - [10519, 7456, 324] - HP: 47908, STR: 179246, VIT: 26262, SPD: 32, LUK: 1, Attack: 271432, Defense: 116040, Current HP: 47908, A Avg: 285003, D Avg: 116040, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 39016: 2399 - [10867, 6415, 1017] - HP: 31217, STR: 129644, VIT: 51934, SPD: 32, LUK: 2, Attack: 219553, Defense: 141712, Current HP: 31217, A Avg: 230530, D Avg: 170054, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 39026: 4893 - [11932, 3230, 3137] - HP: 141578, STR: 109019, VIT: 830, SPD: 32, LUK: 1, Attack: 201205, Defense: 88398, Current HP: 141578, A Avg: 211265, D Avg: 123757, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 806, 807]]
Rank 39034: 253 - [10806, 6616, 877] - HP: 141578, STR: 54619, VIT: 103230, SPD: 32, LUK: 1, Attack: 146805, Defense: 190798, Current HP: 141578, A Avg: 154145, D Avg: 190798, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39035: 5725 - [11107, 5714, 1478] - HP: 94308, STR: 110319, VIT: 25654, SPD: 32, LUK: 1, Attack: 202505, Defense: 113482, Current HP: 94308, A Avg: 255156, D Avg: 136178, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 39036: 6764 - [10728, 6852, 719] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 284398, D Avg: 139606, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 67, 803]]
Rank 39037: 6824 - [10808, 6613, 878] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 236998, D Avg: 167527, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 803, 806]]
Rank 39039: 4895 - [11899, 3342, 3058] - HP: 140708, STR: 110319, VIT: 54, SPD: 32, LUK: 1, Attack: 202505, Defense: 87882, Current HP: 140708, A Avg: 212630, D Avg: 123034, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 806, 807]]
Rank 39048: 13838 - [11925, 3273, 3101] - HP: 2964, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 2964, A Avg: 299417, D Avg: 270785, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 68, 806, 807]]
Rank 39055: 1253 - [11965, 3160, 3174] - HP: 187978, STR: 81819, VIT: 26430, SPD: 32, LUK: 1, Attack: 174005, Defense: 113998, Current HP: 187978, A Avg: 182705, D Avg: 136797, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 39056: 168 - [11582, 4310, 2407] - HP: 124564, STR: 235882, VIT: 26840, SPD: 38, LUK: 1, Attack: 321695, Defense: 116618, Current HP: 124564, A Avg: 337779, D Avg: 116618, [Spear of Regression[182, 130, 130, 130], Blank Shield[244, 130, 230, 230], Black Box[323, 230, 230, 330]]
Rank 39064: 2919 - [10769, 6757, 773] - HP: 817, STR: 129644, VIT: 77534, SPD: 32, LUK: 2, Attack: 219553, Defense: 167312, Current HP: 817, A Avg: 274441, D Avg: 167312, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 39065: 2909 - [10769, 6758, 772] - HP: 817, STR: 129644, VIT: 77534, SPD: 32, LUK: 2, Attack: 219553, Defense: 167312, Current HP: 817, A Avg: 276636, D Avg: 167312, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 39065: 3138 - [10649, 7118, 532] - HP: 2964, STR: 63082, VIT: 180440, SPD: 38, LUK: 1, Attack: 148895, Defense: 270218, Current HP: 2964, A Avg: 156339, D Avg: 270218, [Spear of Regression[182, 230, 330, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 66]]
Rank 39065: 3168 - [10649, 7118, 532] - HP: 2964, STR: 63082, VIT: 180440, SPD: 38, LUK: 1, Attack: 148895, Defense: 270218, Current HP: 2964, A Avg: 160062, D Avg: 270218, [Spear of Regression[182, 230, 330, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 803]]
Rank 39065: 3188 - [10649, 7118, 532] - HP: 2964, STR: 63082, VIT: 180440, SPD: 38, LUK: 1, Attack: 148895, Defense: 270218, Current HP: 2964, A Avg: 156339, D Avg: 270218, [Spear of Regression[182, 230, 330, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 807]]
Rank 39081: 13808 - [11931, 3288, 3080] - HP: 2964, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 2964, A Avg: 303547, D Avg: 270785, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 67, 806, 807]]
Rank 39084: 2930 - [10940, 6264, 1095] - HP: 1508, STR: 128046, VIT: 77462, SPD: 32, LUK: 1, Attack: 220232, Defense: 167240, Current HP: 1508, A Avg: 231243, D Avg: 200688, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 39099: 1516 - [11395, 4914, 1990] - HP: 146415, STR: 102446, VIT: 25928, SPD: 32, LUK: 1, Attack: 194632, Defense: 113353, Current HP: 146415, A Avg: 204363, D Avg: 113353, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39099: 1566 - [11395, 4914, 1990] - HP: 146415, STR: 102446, VIT: 25928, SPD: 32, LUK: 1, Attack: 194632, Defense: 113353, Current HP: 146415, A Avg: 204363, D Avg: 113353, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39102: 2893 - [10853, 6543, 903] - HP: 2378, STR: 136219, VIT: 77630, SPD: 32, LUK: 1, Attack: 228405, Defense: 165198, Current HP: 2378, A Avg: 239825, D Avg: 165198, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 39102: 2933 - [10853, 6543, 903] - HP: 2378, STR: 136219, VIT: 77630, SPD: 32, LUK: 1, Attack: 228405, Defense: 165198, Current HP: 2378, A Avg: 239825, D Avg: 198237, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 39102: 2943 - [10853, 6543, 903] - HP: 2378, STR: 136219, VIT: 77630, SPD: 32, LUK: 1, Attack: 228405, Defense: 165198, Current HP: 2378, A Avg: 239825, D Avg: 165198, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 39102: 3148 - [10649, 7155, 495] - HP: 2964, STR: 63082, VIT: 180440, SPD: 38, LUK: 1, Attack: 148895, Defense: 270218, Current HP: 2964, A Avg: 187607, D Avg: 270218, [Spear of Regression[182, 230, 330, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 67]]
Rank 39102: 3158 - [10649, 7155, 495] - HP: 2964, STR: 63082, VIT: 180440, SPD: 38, LUK: 1, Attack: 148895, Defense: 270218, Current HP: 2964, A Avg: 186118, D Avg: 270218, [Spear of Regression[182, 230, 330, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 68]]
Rank 39117: 1517 - [11370, 5007, 1922] - HP: 141433, STR: 102446, VIT: 28235, SPD: 32, LUK: 1, Attack: 194632, Defense: 115023, Current HP: 141433, A Avg: 204363, D Avg: 115023, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39117: 1567 - [11370, 5007, 1922] - HP: 141433, STR: 102446, VIT: 28235, SPD: 32, LUK: 1, Attack: 194632, Defense: 115023, Current HP: 141433, A Avg: 204363, D Avg: 115023, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39121: 2916 - [10785, 6766, 748] - HP: 2415, STR: 128046, VIT: 77128, SPD: 32, LUK: 1, Attack: 220232, Defense: 164553, Current HP: 2415, A Avg: 275290, D Avg: 164553, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 39126: 5753 - [11184, 5574, 1541] - HP: 95178, STR: 109019, VIT: 26430, SPD: 32, LUK: 1, Attack: 201205, Defense: 113998, Current HP: 95178, A Avg: 251506, D Avg: 136797, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 68, 806]]
Rank 39126: 7914 - [10785, 6771, 743] - HP: 1577, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 1577, A Avg: 275580, D Avg: 165206, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 66, 68]]
Rank 39126: 8004 - [10785, 6771, 743] - HP: 1577, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 1577, A Avg: 275580, D Avg: 198247, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 68, 806]]
Rank 39127: 2906 - [10785, 6772, 742] - HP: 2415, STR: 128046, VIT: 77128, SPD: 32, LUK: 1, Attack: 220232, Defense: 164553, Current HP: 2415, A Avg: 277492, D Avg: 164553, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 39129: 1255 - [11965, 3234, 3100] - HP: 187108, STR: 83119, VIT: 25654, SPD: 32, LUK: 1, Attack: 175305, Defense: 113482, Current HP: 187108, A Avg: 184070, D Avg: 136178, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 39131: 3178 - [10682, 7085, 532] - HP: 2964, STR: 63082, VIT: 180440, SPD: 38, LUK: 1, Attack: 148895, Defense: 270218, Current HP: 2964, A Avg: 156339, D Avg: 324261, [Spear of Regression[182, 230, 330, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 806]]
Rank 39132: 7904 - [10785, 6777, 737] - HP: 1577, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 1577, A Avg: 277784, D Avg: 165206, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 66, 67]]
Rank 39132: 7974 - [10785, 6777, 737] - HP: 1577, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 1577, A Avg: 277784, D Avg: 198247, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 67, 806]]
Rank 39135: 429 - [10616, 7287, 396] - HP: 31217, STR: 52844, VIT: 154334, SPD: 32, LUK: 2, Attack: 142753, Defense: 244112, Current HP: 31217, A Avg: 149890, D Avg: 244112, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39137: 1512 - [11393, 4958, 1948] - HP: 140418, STR: 104028, VIT: 26326, SPD: 32, LUK: 1, Attack: 193937, Defense: 116104, Current HP: 140418, A Avg: 203633, D Avg: 116104, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39137: 1562 - [11393, 4958, 1948] - HP: 140418, STR: 104028, VIT: 26326, SPD: 32, LUK: 1, Attack: 193937, Defense: 116104, Current HP: 140418, A Avg: 203633, D Avg: 116104, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39143: 255 - [10838, 6629, 832] - HP: 140708, STR: 55919, VIT: 102454, SPD: 32, LUK: 1, Attack: 148105, Defense: 190282, Current HP: 140708, A Avg: 155510, D Avg: 190282, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
