Rank 40540: 8037 - [11603, 5731, 965] - HP: 3933, STR: 150138, VIT: 88702, SPD: 48, LUK: 2, Attack: 238020, Defense: 176530, Current HP: 3933, A Avg: 261822, D Avg: 176530, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 803, 807]]
Rank 40553: 6858 - [11838, 5039, 1422] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 268977, D Avg: 234408, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 66, 67]]
Rank 40555: 6777 - [11695, 5470, 1134] - HP: 38646, STR: 150138, VIT: 59470, SPD: 48, LUK: 2, Attack: 238020, Defense: 147298, Current HP: 38646, A Avg: 299905, D Avg: 176757, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 730, 67, 806]]
Rank 40556: 6405 - [11174, 7034, 091] - HP: 54491, STR: 302489, VIT: 134, SPD: 48, LUK: 1, Attack: 392398, Defense: 87962, Current HP: 54491, A Avg: 494421, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 66, 67]]
Rank 40557: 2873 - [11452, 6201, 646] - HP: 1197, STR: 208371, VIT: 59470, SPD: 48, LUK: 2, Attack: 300557, Defense: 149248, Current HP: 1197, A Avg: 315584, D Avg: 179097, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 730, 730, 806]]
Rank 40557: 7937 - [11667, 5556, 1076] - HP: 3933, STR: 150138, VIT: 88702, SPD: 48, LUK: 2, Attack: 238020, Defense: 176530, Current HP: 3933, A Avg: 249921, D Avg: 211836, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 66, 806]]
Rank 40573: 7115 - [11484, 6121, 694] - HP: 54491, STR: 105173, VIT: 117062, SPD: 48, LUK: 1, Attack: 195082, Defense: 204890, Current HP: 54491, A Avg: 282868, D Avg: 204890, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 730, 68, 807]]
Rank 40577: 6918 - [11849, 5030, 1420] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 275381, D Avg: 234408, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 67, 803]]
Rank 40583: 6465 - [11186, 7025, 088] - HP: 54491, STR: 302489, VIT: 134, SPD: 48, LUK: 1, Attack: 392398, Defense: 87962, Current HP: 54491, A Avg: 506193, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 67, 803]]
Rank 40584: 2381 - [11743, 5355, 1201] - HP: 54781, STR: 146222, VIT: 59462, SPD: 48, LUK: 1, Attack: 238408, Defense: 149240, Current HP: 54781, A Avg: 256288, D Avg: 149240, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 630], Gold Ring[303, 730, 730, 803]]
Rank 40586: 1857 - [11548, 5942, 809] - HP: 73359, STR: 223218, VIT: 1006, SPD: 48, LUK: 2, Attack: 311100, Defense: 88834, Current HP: 73359, A Avg: 326655, D Avg: 106600, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 630, 630, 806]]
Rank 40590: 2313 - [11403, 6381, 515] - HP: 35910, STR: 208371, VIT: 30238, SPD: 48, LUK: 2, Attack: 300557, Defense: 120016, Current HP: 35910, A Avg: 375696, D Avg: 120016, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 630, 730, 68]]
Rank 40591: 13535 - [11620, 5731, 948] - HP: 1508, STR: 154502, VIT: 87830, SPD: 48, LUK: 1, Attack: 244411, Defense: 175658, Current HP: 1508, A Avg: 268852, D Avg: 175658, [Spectral Sword Shigure[172, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 66, 803, 807]]
Rank 40591: 13645 - [11620, 5731, 948] - HP: 1508, STR: 154502, VIT: 87830, SPD: 48, LUK: 1, Attack: 244411, Defense: 175658, Current HP: 1508, A Avg: 268852, D Avg: 245921, [Spectral Sword Shigure[172, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 803, 806, 807]]
Rank 40595: 2863 - [11419, 6338, 542] - HP: 1197, STR: 208371, VIT: 59470, SPD: 48, LUK: 2, Attack: 300557, Defense: 149248, Current HP: 1197, A Avg: 323098, D Avg: 149248, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 730, 730, 803]]
Rank 40597: 476 - [11485, 6142, 672] - HP: 1508, STR: 206540, VIT: 59526, SPD: 48, LUK: 1, Attack: 296449, Defense: 149304, Current HP: 1508, A Avg: 311271, D Avg: 149304, [Spectral Sword Shigure[172, 630, 630, 630], Blank Shield[244, 630, 630, 630], Gold Ring[303, 630, 730, 730]]
Rank 40601: 2456 - [11670, 5591, 1038] - HP: 54491, STR: 118844, VIT: 88758, SPD: 48, LUK: 1, Attack: 208753, Defense: 178536, Current HP: 54491, A Avg: 219190, D Avg: 214243, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 630, 730], Gold Ring[303, 730, 730, 806]]
Rank 40611: 6495 - [11198, 7017, 084] - HP: 54491, STR: 302489, VIT: 134, SPD: 48, LUK: 1, Attack: 392398, Defense: 87962, Current HP: 54491, A Avg: 539547, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 68, 803]]
Rank 40614: 6065 - [11655, 5649, 995] - HP: 107474, STR: 105173, VIT: 87830, SPD: 48, LUK: 1, Attack: 195082, Defense: 175658, Current HP: 107474, A Avg: 282868, D Avg: 175658, [Spectral Sword Shigure[172, 530, 530, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 730, 68, 807]]
Rank 40616: 10935 - [11830, 5126, 1343] - HP: 107474, STR: 154502, VIT: 29366, SPD: 48, LUK: 1, Attack: 244411, Defense: 117194, Current HP: 107474, A Avg: 268852, D Avg: 117194, [Spectral Sword Shigure[172, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Gold Ring[303, 66, 803, 807]]
Rank 40621: 2303 - [11407, 6400, 492] - HP: 35910, STR: 208371, VIT: 30238, SPD: 48, LUK: 2, Attack: 300557, Defense: 120016, Current HP: 35910, A Avg: 378701, D Avg: 120016, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 630, 730, 67]]
Rank 40622: 13265 - [11401, 6419, 479] - HP: 1508, STR: 203831, VIT: 58598, SPD: 48, LUK: 1, Attack: 293740, Defense: 146426, Current HP: 1508, A Avg: 378924, D Avg: 146426, [Spectral Sword Shigure[172, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 66, 67, 803]]
Rank 40622: 13385 - [11401, 6419, 479] - HP: 1508, STR: 203831, VIT: 58598, SPD: 48, LUK: 1, Attack: 293740, Defense: 146426, Current HP: 1508, A Avg: 378924, D Avg: 175711, [Spectral Sword Shigure[172, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 67, 803, 806]]
Rank 40629: 6515 - [11206, 7011, 082] - HP: 54491, STR: 302489, VIT: 134, SPD: 48, LUK: 1, Attack: 392398, Defense: 87962, Current HP: 54491, A Avg: 568977, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 68, 807]]
Rank 40631: 2454 - [11935, 4826, 1538] - HP: 36632, STR: 117243, VIT: 144526, SPD: 48, LUK: 1, Attack: 209429, Defense: 234304, Current HP: 36632, A Avg: 219900, D Avg: 281164, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 730], Obsidian Ring[320, 730, 730, 806]]
Rank 40631: 6485 - [11206, 7013, 080] - HP: 54491, STR: 302489, VIT: 134, SPD: 48, LUK: 1, Attack: 392398, Defense: 87962, Current HP: 54491, A Avg: 576825, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 67, 807]]
Rank 40636: 2929 - [11636, 5728, 935] - HP: 2668, STR: 155531, VIT: 88782, SPD: 48, LUK: 1, Attack: 247717, Defense: 176350, Current HP: 2668, A Avg: 266295, D Avg: 176350, [Big Bang[171, 630, 630, 630], Storm Wall[242, 630, 630, 730], Gold Ring[303, 730, 730, 803]]
Rank 40636: 7105 - [11530, 6046, 723] - HP: 54491, STR: 105173, VIT: 117062, SPD: 48, LUK: 1, Attack: 195082, Defense: 204890, Current HP: 54491, A Avg: 243852, D Avg: 245868, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 730, 68, 806]]
Rank 40642: 2971 - [11564, 5950, 785] - HP: 1798, STR: 116990, VIT: 117926, SPD: 48, LUK: 1, Attack: 209176, Defense: 207704, Current HP: 1798, A Avg: 261470, D Avg: 207704, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Gold Ring[303, 730, 730, 68]]
Rank 40643: 2931 - [11702, 5537, 1060] - HP: 1798, STR: 146222, VIT: 88694, SPD: 48, LUK: 1, Attack: 238408, Defense: 178472, Current HP: 1798, A Avg: 250328, D Avg: 214166, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 730], Gold Ring[303, 730, 730, 806]]
Rank 40643: 6455 - [11212, 7007, 080] - HP: 54491, STR: 302489, VIT: 134, SPD: 48, LUK: 1, Attack: 392398, Defense: 87962, Current HP: 54491, A Avg: 588597, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 67, 68]]
Rank 40643: 6817 - [11687, 5582, 1030] - HP: 38646, STR: 150138, VIT: 59470, SPD: 48, LUK: 2, Attack: 238020, Defense: 147298, Current HP: 38646, A Avg: 345129, D Avg: 147298, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 730, 68, 807]]
Rank 40645: 2961 - [11564, 5953, 782] - HP: 1798, STR: 116990, VIT: 117926, SPD: 48, LUK: 1, Attack: 209176, Defense: 207704, Current HP: 1798, A Avg: 263561, D Avg: 207704, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Gold Ring[303, 730, 730, 67]]
Rank 40646: 479 - [11452, 6290, 557] - HP: 2668, STR: 217649, VIT: 59550, SPD: 48, LUK: 1, Attack: 309835, Defense: 147118, Current HP: 2668, A Avg: 325326, D Avg: 147118, [Big Bang[171, 630, 630, 630], Storm Wall[242, 630, 630, 630], Gold Ring[303, 630, 730, 730]]
Rank 40648: 6948 - [11873, 5029, 1397] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 293526, D Avg: 234408, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 68, 803]]
Rank 40648: 7085 - [11519, 6091, 689] - HP: 54491, STR: 105173, VIT: 117062, SPD: 48, LUK: 1, Attack: 195082, Defense: 204890, Current HP: 54491, A Avg: 286770, D Avg: 204890, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 730, 67, 807]]
Rank 40650: 1496 - [12510, 3120, 2669] - HP: 160457, STR: 148076, VIT: 1062, SPD: 48, LUK: 1, Attack: 237985, Defense: 90840, Current HP: 160457, A Avg: 249884, D Avg: 109008, [Spectral Sword Shigure[172, 530, 530, 530], Blank Shield[244, 630, 630, 630], Gold Ring[303, 630, 630, 806]]
Rank 40655: 15285 - [12271, 3842, 2186] - HP: 107474, STR: 154502, VIT: 134, SPD: 48, LUK: 1, Attack: 244411, Defense: 87962, Current HP: 107474, A Avg: 376392, D Avg: 123146, [Spectral Sword Shigure[172, 530, 530, 630], Black Sword Breath[252, 630, 630, 67], Gold Ring[303, 803, 806, 807]]
Rank 40659: 7075 - [11541, 6036, 722] - HP: 54491, STR: 105173, VIT: 117062, SPD: 48, LUK: 1, Attack: 195082, Defense: 204890, Current HP: 54491, A Avg: 245803, D Avg: 245868, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 730, 67, 806]]
Rank 40662: 8027 - [11694, 5580, 1025] - HP: 3933, STR: 150138, VIT: 88702, SPD: 48, LUK: 2, Attack: 238020, Defense: 176530, Current HP: 3933, A Avg: 255871, D Avg: 211836, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 803, 806]]
Rank 40664: 161 - [12448, 3320, 2531] - HP: 213730, STR: 116990, VIT: 30230, SPD: 48, LUK: 1, Attack: 209176, Defense: 120008, Current HP: 213730, A Avg: 219634, D Avg: 120008, [Big Bang[171, 530, 530, 530], Blank Shield[244, 530, 630, 630], Gold Ring[303, 630, 630, 730]]
Rank 40673: 6035 - [11684, 5621, 994] - HP: 107474, STR: 105173, VIT: 87830, SPD: 48, LUK: 1, Attack: 195082, Defense: 175658, Current HP: 107474, A Avg: 286770, D Avg: 175658, [Spectral Sword Shigure[172, 530, 530, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 730, 67, 807]]
Rank 40674: 2235 - [11213, 7035, 051] - HP: 54491, STR: 351818, VIT: 134, SPD: 48, LUK: 1, Attack: 441727, Defense: 87962, Current HP: 54491, A Avg: 463813, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 630, 66]]
Rank 40674: 2285 - [11213, 7035, 051] - HP: 54491, STR: 351818, VIT: 134, SPD: 48, LUK: 1, Attack: 441727, Defense: 87962, Current HP: 54491, A Avg: 463813, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 630, 807]]
Rank 40675: 2451 - [11702, 5569, 1028] - HP: 54781, STR: 116990, VIT: 88694, SPD: 48, LUK: 1, Attack: 209176, Defense: 178472, Current HP: 54781, A Avg: 219634, D Avg: 214166, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 730], Gold Ring[303, 730, 730, 806]]
Rank 40675: 6092 - [11983, 4726, 1590] - HP: 73264, STR: 159864, VIT: 89156, SPD: 48, LUK: 1, Attack: 245677, Defense: 178934, Current HP: 73264, A Avg: 257960, D Avg: 250507, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 730, 730], Mobius Ring[316, 730, 806, 807]]
Rank 40688: 16045 - [11727, 5507, 1065] - HP: 54491, STR: 154502, VIT: 29366, SPD: 48, LUK: 1, Attack: 244411, Defense: 117194, Current HP: 54491, A Avg: 464380, D Avg: 164071, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 730, 68], Gold Ring[303, 803, 806, 807]]
Rank 40690: 1537 - [11961, 4807, 1531] - HP: 108072, STR: 150138, VIT: 30238, SPD: 48, LUK: 2, Attack: 238020, Defense: 118066, Current HP: 108072, A Avg: 297525, D Avg: 118066, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 630, 730, 68]]
Rank 40694: 7145 - [11615, 5849, 835] - HP: 54491, STR: 105173, VIT: 117062, SPD: 48, LUK: 1, Attack: 195082, Defense: 204890, Current HP: 54491, A Avg: 204836, D Avg: 286846, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 730, 806, 807]]
Rank 40696: 11815 - [11338, 6682, 279] - HP: 54491, STR: 253160, VIT: 134, SPD: 48, LUK: 1, Attack: 343069, Defense: 87962, Current HP: 54491, A Avg: 471719, D Avg: 105554, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 68, 803, 806]]
Rank 40698: 2436 - [11658, 5724, 917] - HP: 54491, STR: 118844, VIT: 88758, SPD: 48, LUK: 1, Attack: 208753, Defense: 178536, Current HP: 54491, A Avg: 260941, D Avg: 178536, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 630, 730], Gold Ring[303, 730, 730, 68]]
Rank 40700: 7055 - [11524, 6128, 647] - HP: 54491, STR: 105173, VIT: 117062, SPD: 48, LUK: 1, Attack: 195082, Defense: 204890, Current HP: 54491, A Avg: 292623, D Avg: 204890, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Gold Ring[303, 730, 67, 68]]
Rank 40701: 8047 - [11729, 5514, 1056] - HP: 3933, STR: 150138, VIT: 88702, SPD: 48, LUK: 2, Attack: 238020, Defense: 176530, Current HP: 3933, A Avg: 249921, D Avg: 247141, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 806, 807]]
Rank 40722: 6968 - [11893, 5043, 1363] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 309537, D Avg: 234408, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 68, 807]]
Rank 40728: 1527 - [11980, 4788, 1531] - HP: 108072, STR: 150138, VIT: 30238, SPD: 48, LUK: 2, Attack: 238020, Defense: 118066, Current HP: 108072, A Avg: 299905, D Avg: 118066, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 630, 730, 67]]
Rank 40729: 323 - [11617, 5878, 804] - HP: 70623, STR: 104232, VIT: 117934, SPD: 48, LUK: 2, Attack: 196418, Defense: 207712, Current HP: 70623, A Avg: 206238, D Avg: 207712, [Big Bang[171, 530, 530, 630], Blank Shield[244, 630, 630, 730], Tears of the Dragon[307, 730, 730, 730]]
Rank 40729: 471 - [11540, 6109, 650] - HP: 1798, STR: 204686, VIT: 59462, SPD: 48, LUK: 1, Attack: 296872, Defense: 149240, Current HP: 1798, A Avg: 311715, D Avg: 149240, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 630], Gold Ring[303, 630, 730, 730]]
Rank 40729: 7102 - [12081, 4486, 1732] - HP: 38551, STR: 159864, VIT: 118388, SPD: 48, LUK: 1, Attack: 245677, Defense: 208166, Current HP: 38551, A Avg: 307096, D Avg: 249799, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 68, 806]]
Rank 40730: 7072 - [12081, 4487, 1731] - HP: 38551, STR: 159864, VIT: 118388, SPD: 48, LUK: 1, Attack: 245677, Defense: 208166, Current HP: 38551, A Avg: 309553, D Avg: 249799, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 67, 806]]
Rank 40732: 5195 - [12217, 4081, 2001] - HP: 160457, STR: 105173, VIT: 58598, SPD: 48, LUK: 1, Attack: 195082, Defense: 146426, Current HP: 160457, A Avg: 204836, D Avg: 204996, [Spectral Sword Shigure[172, 530, 530, 530], Black Sword Breath[252, 630, 630, 730], Gold Ring[303, 730, 806, 807]]
Rank 40733: 283 - [11460, 6353, 486] - HP: 70623, STR: 243084, VIT: 1006, SPD: 48, LUK: 2, Attack: 335270, Defense: 90784, Current HP: 70623, A Avg: 352033, D Avg: 90784, [Big Bang[171, 530, 530, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 630, 630, 630]]
Rank 40734: 6938 - [11893, 5055, 1351] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 313806, D Avg: 234408, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 67, 807]]
Rank 40736: 6908 - [11894, 5054, 1351] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 320211, D Avg: 234408, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 67, 68]]
Rank 40749: 2265 - [11242, 7023, 034] - HP: 54491, STR: 351818, VIT: 134, SPD: 48, LUK: 1, Attack: 441727, Defense: 87962, Current HP: 54491, A Avg: 474856, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 630, 803]]
Rank 40757: 6787 - [11728, 5573, 998] - HP: 38646, STR: 150138, VIT: 59470, SPD: 48, LUK: 2, Attack: 238020, Defense: 147298, Current HP: 38646, A Avg: 349889, D Avg: 147298, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 730, 67, 807]]
Rank 40758: 232 - [12214, 4116, 1969] - HP: 107977, STR: 313332, VIT: 59924, SPD: 48, LUK: 1, Attack: 399145, Defense: 149702, Current HP: 107977, A Avg: 419102, D Avg: 149702, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 730, 730]]
Rank 40772: 2426 - [11687, 5711, 901] - HP: 54491, STR: 118844, VIT: 88758, SPD: 48, LUK: 1, Attack: 208753, Defense: 178536, Current HP: 54491, A Avg: 263028, D Avg: 178536, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 630, 730], Gold Ring[303, 730, 730, 67]]
Rank 40778: 6005 - [11713, 5639, 947] - HP: 107474, STR: 105173, VIT: 87830, SPD: 48, LUK: 1, Attack: 195082, Defense: 175658, Current HP: 107474, A Avg: 292623, D Avg: 175658, [Spectral Sword Shigure[172, 530, 530, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 730, 67, 68]]
Rank 40789: 13295 - [11431, 6496, 372] - HP: 1508, STR: 203831, VIT: 58598, SPD: 48, LUK: 1, Attack: 293740, Defense: 146426, Current HP: 1508, A Avg: 403892, D Avg: 146426, [Spectral Sword Shigure[172, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 66, 68, 803]]
Rank 40789: 13415 - [11431, 6496, 372] - HP: 1508, STR: 203831, VIT: 58598, SPD: 48, LUK: 1, Attack: 293740, Defense: 146426, Current HP: 1508, A Avg: 403892, D Avg: 175711, [Spectral Sword Shigure[172, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 68, 803, 806]]
Rank 40793: 6888 - [11984, 4841, 1474] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 224147, D Avg: 281289, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 66, 806]]
Rank 40799: 1610 - [12081, 4556, 1662] - HP: 108433, STR: 203770, VIT: 60264, SPD: 57, LUK: 1, Attack: 289583, Defense: 150042, Current HP: 108433, A Avg: 304062, D Avg: 180050, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 730, 806]]
Rank 40804: 3014 - [11557, 6133, 609] - HP: 1919, STR: 88011, VIT: 239530, SPD: 48, LUK: 1, Attack: 180197, Defense: 329308, Current HP: 1919, A Avg: 189206, D Avg: 329308, [Big Bang[171, 630, 630, 630], Blank Shield[244, 730, 730, 730], Obsidian Ring[320, 730, 730, 66]]
