Rank 38334: 3078 - [10172, 7818, 309] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 149739, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38421: 4892 - [11626, 3543, 3130] - HP: 141433, STR: 109010, VIT: 702, SPD: 24, LUK: 1, Attack: 201196, Defense: 88270, Current HP: 141433, A Avg: 211255, D Avg: 123577, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 806, 807]]
Rank 38425: 2553 - [10168, 7921, 210] - HP: 31882, STR: 64268, VIT: 128710, SPD: 24, LUK: 2, Attack: 156454, Defense: 216278, Current HP: 31882, A Avg: 195567, D Avg: 216278, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38426: 2543 - [10168, 7922, 209] - HP: 31882, STR: 64268, VIT: 128710, SPD: 24, LUK: 2, Attack: 156454, Defense: 216278, Current HP: 31882, A Avg: 197132, D Avg: 216278, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38430: 184 - [10793, 6051, 1455] - HP: 186963, STR: 55613, VIT: 76846, SPD: 24, LUK: 1, Attack: 147799, Defense: 164674, Current HP: 186963, A Avg: 155188, D Avg: 164674, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38435: 280 - [10211, 7802, 286] - HP: 94163, STR: 179238, VIT: 494, SPD: 24, LUK: 1, Attack: 271424, Defense: 90272, Current HP: 94163, A Avg: 284995, D Avg: 90272, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 38448: 1576 - [11024, 5376, 1899] - HP: 140273, STR: 78284, VIT: 51758, SPD: 24, LUK: 1, Attack: 168193, Defense: 141536, Current HP: 140273, A Avg: 176602, D Avg: 141536, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 38448: 1626 - [11024, 5376, 1899] - HP: 140273, STR: 78284, VIT: 51758, SPD: 24, LUK: 1, Attack: 168193, Defense: 141536, Current HP: 140273, A Avg: 176602, D Avg: 141536, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 38457: 2551 - [10193, 7878, 228] - HP: 31312, STR: 60864, VIT: 128502, SPD: 24, LUK: 2, Attack: 153050, Defense: 218280, Current HP: 31312, A Avg: 191312, D Avg: 218280, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38466: 2541 - [10196, 7878, 225] - HP: 31312, STR: 60864, VIT: 128502, SPD: 24, LUK: 2, Attack: 153050, Defense: 218280, Current HP: 31312, A Avg: 192843, D Avg: 218280, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38471: 3098 - [10191, 7898, 210] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 178261, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38472: 3088 - [10191, 7899, 209] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 179687, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38486: 3116 - [10237, 7775, 287] - HP: 1073, STR: 52684, VIT: 154158, SPD: 24, LUK: 1, Attack: 142593, Defense: 243936, Current HP: 1073, A Avg: 149722, D Avg: 292723, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38493: 3096 - [10202, 7887, 210] - HP: 1073, STR: 52684, VIT: 154158, SPD: 24, LUK: 1, Attack: 142593, Defense: 243936, Current HP: 1073, A Avg: 178241, D Avg: 243936, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38494: 3086 - [10202, 7888, 209] - HP: 1073, STR: 52684, VIT: 154158, SPD: 24, LUK: 1, Attack: 142593, Defense: 243936, Current HP: 1073, A Avg: 179667, D Avg: 243936, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38495: 3071 - [10194, 7913, 192] - HP: 912, STR: 60864, VIT: 154102, SPD: 24, LUK: 2, Attack: 153050, Defense: 243880, Current HP: 912, A Avg: 160702, D Avg: 243880, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38495: 3121 - [10194, 7913, 192] - HP: 912, STR: 60864, VIT: 154102, SPD: 24, LUK: 2, Attack: 153050, Defense: 243880, Current HP: 912, A Avg: 160702, D Avg: 243880, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38496: 2075 - [10438, 7182, 679] - HP: 98040, STR: 51238, VIT: 102648, SPD: 24, LUK: 1, Attack: 143424, Defense: 190073, Current HP: 98040, A Avg: 179280, D Avg: 190073, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38497: 3070 - [10236, 7789, 274] - HP: 1363, STR: 51238, VIT: 154094, SPD: 24, LUK: 1, Attack: 143424, Defense: 243872, Current HP: 1363, A Avg: 150595, D Avg: 243872, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38497: 3120 - [10236, 7789, 274] - HP: 1363, STR: 51238, VIT: 154094, SPD: 24, LUK: 1, Attack: 143424, Defense: 243872, Current HP: 1363, A Avg: 150595, D Avg: 243872, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38499: 2059 - [10408, 7275, 616] - HP: 94743, STR: 56147, VIT: 103166, SPD: 24, LUK: 1, Attack: 146056, Defense: 190734, Current HP: 94743, A Avg: 153358, D Avg: 190734, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38499: 2109 - [10408, 7275, 616] - HP: 94743, STR: 56147, VIT: 103166, SPD: 24, LUK: 1, Attack: 146056, Defense: 190734, Current HP: 94743, A Avg: 153358, D Avg: 190734, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38499: 3101 - [10194, 7917, 188] - HP: 912, STR: 60864, VIT: 154102, SPD: 24, LUK: 2, Attack: 153050, Defense: 243880, Current HP: 912, A Avg: 164528, D Avg: 243880, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38511: 3111 - [10201, 7908, 190] - HP: 912, STR: 60864, VIT: 154102, SPD: 24, LUK: 2, Attack: 153050, Defense: 243880, Current HP: 912, A Avg: 160702, D Avg: 292656, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38511: 8067 - [10423, 7242, 634] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 211280, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 66, 68]]
Rank 38511: 8157 - [10423, 7242, 634] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 211280, D Avg: 235682, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 68, 806]]
Rank 38512: 2065 - [10445, 7177, 677] - HP: 98040, STR: 51238, VIT: 102648, SPD: 24, LUK: 1, Attack: 143424, Defense: 190073, Current HP: 98040, A Avg: 180714, D Avg: 190073, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38515: 3100 - [10238, 7801, 260] - HP: 1363, STR: 51238, VIT: 154094, SPD: 24, LUK: 1, Attack: 143424, Defense: 243872, Current HP: 1363, A Avg: 154180, D Avg: 243872, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38515: 8057 - [10423, 7246, 630] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 212970, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 66, 67]]
Rank 38515: 8117 - [10423, 7246, 630] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 218040, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 67, 803]]
Rank 38515: 8127 - [10423, 7246, 630] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 212970, D Avg: 235682, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38521: 1605 - [11063, 5332, 1904] - HP: 146040, STR: 76838, VIT: 51448, SPD: 24, LUK: 1, Attack: 169024, Defense: 138873, Current HP: 146040, A Avg: 181700, D Avg: 138873, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 38529: 2054 - [10414, 7287, 598] - HP: 94163, STR: 55613, VIT: 102446, SPD: 24, LUK: 1, Attack: 147799, Defense: 190274, Current HP: 94163, A Avg: 155188, D Avg: 190274, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38529: 2104 - [10414, 7287, 598] - HP: 94163, STR: 55613, VIT: 102446, SPD: 24, LUK: 1, Attack: 147799, Defense: 190274, Current HP: 94163, A Avg: 155188, D Avg: 190274, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38531: 8147 - [10423, 7262, 614] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 232408, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 68, 803]]
Rank 38532: 3091 - [10197, 7941, 161] - HP: 912, STR: 60864, VIT: 154102, SPD: 24, LUK: 2, Attack: 153050, Defense: 243880, Current HP: 912, A Avg: 191312, D Avg: 243880, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38538: 3081 - [10197, 7947, 155] - HP: 912, STR: 60864, VIT: 154102, SPD: 24, LUK: 2, Attack: 153050, Defense: 243880, Current HP: 912, A Avg: 192843, D Avg: 243880, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38540: 2089 - [10424, 7268, 607] - HP: 94743, STR: 56147, VIT: 103166, SPD: 24, LUK: 1, Attack: 146056, Defense: 190734, Current HP: 94743, A Avg: 157010, D Avg: 190734, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38543: 187 - [10710, 6413, 1176] - HP: 187688, STR: 51238, VIT: 82414, SPD: 24, LUK: 1, Attack: 143424, Defense: 169202, Current HP: 187688, A Avg: 150595, D Avg: 169202, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38543: 2076 - [10452, 7187, 660] - HP: 93873, STR: 52684, VIT: 102958, SPD: 24, LUK: 1, Attack: 142593, Defense: 192736, Current HP: 93873, A Avg: 178241, D Avg: 192736, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38549: 103 - [11015, 5504, 1780] - HP: 153482, STR: 128268, VIT: 710, SPD: 24, LUK: 2, Attack: 220454, Defense: 88278, Current HP: 153482, A Avg: 231476, D Avg: 88278, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 130, 230], Tears of the Dragon[307, 230, 230, 230]]
Rank 38557: 2066 - [10457, 7186, 656] - HP: 93873, STR: 52684, VIT: 102958, SPD: 24, LUK: 1, Attack: 142593, Defense: 192736, Current HP: 93873, A Avg: 179667, D Avg: 192736, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38559: 2052 - [10429, 7272, 598] - HP: 95033, STR: 54610, VIT: 103102, SPD: 24, LUK: 1, Attack: 146796, Defense: 190670, Current HP: 95033, A Avg: 154135, D Avg: 190670, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38559: 2102 - [10429, 7272, 598] - HP: 95033, STR: 54610, VIT: 103102, SPD: 24, LUK: 1, Attack: 146796, Defense: 190670, Current HP: 95033, A Avg: 154135, D Avg: 190670, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38569: 211 - [10264, 7777, 258] - HP: 92112, STR: 182464, VIT: 502, SPD: 24, LUK: 2, Attack: 274650, Defense: 90280, Current HP: 92112, A Avg: 288382, D Avg: 90280, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 230, 230]]
Rank 38576: 2084 - [10434, 7274, 591] - HP: 94163, STR: 55613, VIT: 102446, SPD: 24, LUK: 1, Attack: 147799, Defense: 190274, Current HP: 94163, A Avg: 158883, D Avg: 190274, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38581: 1197 - [11953, 2722, 3624] - HP: 187688, STR: 102438, VIT: 814, SPD: 24, LUK: 1, Attack: 194624, Defense: 87602, Current HP: 187688, A Avg: 204355, D Avg: 105122, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38581: 6994 - [10613, 6742, 944] - HP: 47763, STR: 82813, VIT: 76846, SPD: 24, LUK: 1, Attack: 174999, Defense: 164674, Current HP: 47763, A Avg: 183748, D Avg: 230543, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38597: 3110 - [10281, 7754, 264] - HP: 1363, STR: 51238, VIT: 154094, SPD: 24, LUK: 1, Attack: 143424, Defense: 243872, Current HP: 1363, A Avg: 150595, D Avg: 292646, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38598: 3090 - [10247, 7857, 195] - HP: 1363, STR: 51238, VIT: 154094, SPD: 24, LUK: 1, Attack: 143424, Defense: 243872, Current HP: 1363, A Avg: 179280, D Avg: 243872, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38599: 6999 - [10620, 6739, 940] - HP: 48343, STR: 83347, VIT: 77566, SPD: 24, LUK: 1, Attack: 173256, Defense: 165134, Current HP: 48343, A Avg: 181918, D Avg: 231187, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38601: 8107 - [10423, 7332, 544] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 253536, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 67, 68]]
Rank 38601: 8137 - [10423, 7332, 544] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 248465, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 67, 807]]
Rank 38601: 8167 - [10423, 7332, 544] - HP: 2088, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 2088, A Avg: 245084, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 68, 807]]
Rank 38602: 3080 - [10248, 7858, 193] - HP: 1363, STR: 51238, VIT: 154094, SPD: 24, LUK: 1, Attack: 143424, Defense: 243872, Current HP: 1363, A Avg: 180714, D Avg: 243872, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38609: 2082 - [10448, 7265, 586] - HP: 95033, STR: 54610, VIT: 103102, SPD: 24, LUK: 1, Attack: 146796, Defense: 190670, Current HP: 95033, A Avg: 157805, D Avg: 190670, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38612: 1891 - [10338, 7598, 363] - HP: 61712, STR: 152064, VIT: 26102, SPD: 24, LUK: 2, Attack: 244250, Defense: 115880, Current HP: 61712, A Avg: 305312, D Avg: 115880, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 68]]
Rank 38621: 1606 - [11094, 5339, 1866] - HP: 140273, STR: 78284, VIT: 51758, SPD: 24, LUK: 1, Attack: 168193, Defense: 141536, Current HP: 140273, A Avg: 180807, D Avg: 141536, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 38621: 2038 - [10666, 6623, 1010] - HP: 61522, STR: 78300, VIT: 77366, SPD: 24, LUK: 2, Attack: 168209, Defense: 167144, Current HP: 61522, A Avg: 176619, D Avg: 200572, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38636: 6957 - [10505, 7121, 673] - HP: 48488, STR: 76838, VIT: 82414, SPD: 24, LUK: 1, Attack: 169024, Defense: 169202, Current HP: 48488, A Avg: 211280, D Avg: 203042, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 68, 806]]
Rank 38642: 1881 - [10349, 7595, 355] - HP: 61712, STR: 152064, VIT: 26102, SPD: 24, LUK: 2, Attack: 244250, Defense: 115880, Current HP: 61712, A Avg: 307755, D Avg: 115880, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 67]]
Rank 38659: 1611 - [10860, 6079, 1360] - HP: 92112, STR: 91264, VIT: 51702, SPD: 24, LUK: 2, Attack: 183450, Defense: 141480, Current HP: 92112, A Avg: 192622, D Avg: 169776, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 38665: 6927 - [10519, 7108, 672] - HP: 48488, STR: 76838, VIT: 82414, SPD: 24, LUK: 1, Attack: 169024, Defense: 169202, Current HP: 48488, A Avg: 212970, D Avg: 203042, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
