Rank 38219: 6923 - [10416, 6971, 912] - HP: 47067, STR: 77881, VIT: 76888, SPD: 1, LUK: 1, Attack: 167790, Defense: 166666, Current HP: 47067, A Avg: 211415, D Avg: 199999, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38222: 3129 - [10088, 7958, 253] - HP: 1026, STR: 55736, VIT: 154016, SPD: 1, LUK: 2, Attack: 145645, Defense: 241584, Current HP: 1026, A Avg: 152927, D Avg: 241584, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38226: 2537 - [10091, 7953, 255] - HP: 31616, STR: 64240, VIT: 128352, SPD: 1, LUK: 2, Attack: 156426, Defense: 215920, Current HP: 31616, A Avg: 164247, D Avg: 215920, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38226: 2587 - [10091, 7953, 255] - HP: 31616, STR: 64240, VIT: 128352, SPD: 1, LUK: 2, Attack: 156426, Defense: 215920, Current HP: 31616, A Avg: 164247, D Avg: 215920, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38228: 2572 - [10159, 7751, 389] - HP: 30856, STR: 52297, VIT: 128096, SPD: 1, LUK: 2, Attack: 142206, Defense: 217874, Current HP: 30856, A Avg: 149316, D Avg: 261448, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38230: 2567 - [10092, 7954, 253] - HP: 31616, STR: 64240, VIT: 128352, SPD: 1, LUK: 2, Attack: 156426, Defense: 215920, Current HP: 31616, A Avg: 168157, D Avg: 215920, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38230: 5724 - [10732, 6034, 1533] - HP: 94337, STR: 110119, VIT: 26008, SPD: 1, LUK: 1, Attack: 200028, Defense: 113576, Current HP: 94337, A Avg: 252035, D Avg: 136291, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 38240: 1256 - [11686, 3182, 3431] - HP: 186557, STR: 76816, VIT: 25624, SPD: 1, LUK: 1, Attack: 169002, Defense: 115402, Current HP: 186557, A Avg: 177452, D Avg: 138482, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 38240: 3106 - [10103, 7931, 265] - HP: 957, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 143402, Defense: 243402, Current HP: 957, A Avg: 154157, D Avg: 243402, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38244: 3104 - [10088, 7980, 231] - HP: 1537, STR: 55719, VIT: 154008, SPD: 1, LUK: 1, Attack: 145628, Defense: 241576, Current HP: 1537, A Avg: 156550, D Avg: 241576, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38244: 3109 - [10088, 7980, 231] - HP: 1026, STR: 55736, VIT: 154016, SPD: 1, LUK: 2, Attack: 145645, Defense: 241584, Current HP: 1026, A Avg: 156568, D Avg: 241584, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38244: 5908 - [10749, 5997, 1553] - HP: 94627, STR: 81787, VIT: 51544, SPD: 1, LUK: 1, Attack: 173973, Defense: 139112, Current HP: 94627, A Avg: 217466, D Avg: 166934, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 68, 806]]
Rank 38246: 2560 - [10108, 7922, 269] - HP: 30476, STR: 51232, VIT: 128032, SPD: 1, LUK: 2, Attack: 150498, Defense: 217810, Current HP: 30476, A Avg: 161785, D Avg: 217810, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38247: 2369 - [10217, 7596, 486] - HP: 31426, STR: 137336, VIT: 51616, SPD: 1, LUK: 2, Attack: 227245, Defense: 139184, Current HP: 31426, A Avg: 286328, D Avg: 139184, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 67]]
Rank 38248: 6924 - [10386, 7090, 823] - HP: 47937, STR: 82919, VIT: 77208, SPD: 1, LUK: 1, Attack: 172828, Defense: 164776, Current HP: 47937, A Avg: 217763, D Avg: 197731, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38250: 3108 - [10088, 7986, 225] - HP: 1827, STR: 54587, VIT: 153944, SPD: 1, LUK: 1, Attack: 146773, Defense: 241512, Current HP: 1827, A Avg: 157780, D Avg: 241512, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38252: 2029 - [10461, 6869, 969] - HP: 61826, STR: 82936, VIT: 77216, SPD: 1, LUK: 2, Attack: 172845, Defense: 164784, Current HP: 61826, A Avg: 185808, D Avg: 164784, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38252: 2579 - [10147, 7811, 341] - HP: 31426, STR: 55736, VIT: 128416, SPD: 1, LUK: 2, Attack: 145645, Defense: 215984, Current HP: 31426, A Avg: 152927, D Avg: 259180, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38256: 1224 - [11550, 3606, 3143] - HP: 187137, STR: 82919, VIT: 26008, SPD: 1, LUK: 1, Attack: 172828, Defense: 113576, Current HP: 187137, A Avg: 217763, D Avg: 113576, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 38262: 3116 - [10123, 7893, 283] - HP: 957, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 143402, Defense: 243402, Current HP: 957, A Avg: 150572, D Avg: 292082, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38272: 1959 - [10412, 7036, 851] - HP: 61826, STR: 110136, VIT: 51616, SPD: 1, LUK: 2, Attack: 200045, Defense: 139184, Current HP: 61826, A Avg: 250056, D Avg: 139184, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 68]]
Rank 38274: 5878 - [10763, 5985, 1551] - HP: 94627, STR: 81787, VIT: 51544, SPD: 1, LUK: 1, Attack: 173973, Defense: 139112, Current HP: 94627, A Avg: 219205, D Avg: 166934, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 67, 806]]
Rank 38275: 3092 - [10088, 8011, 200] - HP: 456, STR: 52297, VIT: 153696, SPD: 1, LUK: 2, Attack: 142206, Defense: 243474, Current HP: 456, A Avg: 177757, D Avg: 243474, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38275: 3093 - [10088, 8011, 200] - HP: 667, STR: 52281, VIT: 153688, SPD: 1, LUK: 1, Attack: 142190, Defense: 243466, Current HP: 667, A Avg: 177737, D Avg: 243466, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38276: 3082 - [10088, 8012, 199] - HP: 456, STR: 52297, VIT: 153696, SPD: 1, LUK: 2, Attack: 142206, Defense: 243474, Current HP: 456, A Avg: 179179, D Avg: 243474, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38276: 3083 - [10088, 8012, 199] - HP: 667, STR: 52281, VIT: 153688, SPD: 1, LUK: 1, Attack: 142190, Defense: 243466, Current HP: 667, A Avg: 179159, D Avg: 243466, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38279: 3070 - [10088, 8015, 196] - HP: 76, STR: 51232, VIT: 153632, SPD: 1, LUK: 2, Attack: 150498, Defense: 243410, Current HP: 76, A Avg: 158022, D Avg: 243410, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38279: 3071 - [10088, 8015, 196] - HP: 87, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 150482, Defense: 243402, Current HP: 87, A Avg: 158006, D Avg: 243402, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38279: 3110 - [10088, 8015, 196] - HP: 76, STR: 51232, VIT: 153632, SPD: 1, LUK: 2, Attack: 150498, Defense: 243410, Current HP: 76, A Avg: 158022, D Avg: 292092, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38279: 3111 - [10088, 8015, 196] - HP: 87, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 150482, Defense: 243402, Current HP: 87, A Avg: 158006, D Avg: 292082, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38279: 3120 - [10088, 8015, 196] - HP: 76, STR: 51232, VIT: 153632, SPD: 1, LUK: 2, Attack: 150498, Defense: 243410, Current HP: 76, A Avg: 158022, D Avg: 243410, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38279: 3121 - [10088, 8015, 196] - HP: 87, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 150482, Defense: 243402, Current HP: 87, A Avg: 158006, D Avg: 243402, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38281: 2535 - [10123, 7912, 264] - HP: 31046, STR: 60838, VIT: 128032, SPD: 1, LUK: 2, Attack: 153024, Defense: 217810, Current HP: 31046, A Avg: 160675, D Avg: 217810, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38281: 2565 - [10123, 7912, 264] - HP: 31046, STR: 60838, VIT: 128032, SPD: 1, LUK: 2, Attack: 153024, Defense: 217810, Current HP: 31046, A Avg: 164500, D Avg: 217810, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38281: 2585 - [10123, 7912, 264] - HP: 31046, STR: 60838, VIT: 128032, SPD: 1, LUK: 2, Attack: 153024, Defense: 217810, Current HP: 31046, A Avg: 160675, D Avg: 217810, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38281: 2928 - [10330, 7291, 678] - HP: 1827, STR: 136187, VIT: 77144, SPD: 1, LUK: 1, Attack: 228373, Defense: 164712, Current HP: 1827, A Avg: 245500, D Avg: 164712, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 38282: 1241 - [11491, 3809, 2999] - HP: 185687, STR: 76816, VIT: 25624, SPD: 1, LUK: 1, Attack: 176082, Defense: 115402, Current HP: 185687, A Avg: 189288, D Avg: 115402, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 38283: 6848 - [10464, 6891, 944] - HP: 48227, STR: 108987, VIT: 51544, SPD: 1, LUK: 1, Attack: 201173, Defense: 139112, Current HP: 48227, A Avg: 211231, D Avg: 194756, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 806, 807]]
Rank 38287: 3100 - [10088, 8023, 188] - HP: 76, STR: 51232, VIT: 153632, SPD: 1, LUK: 2, Attack: 150498, Defense: 243410, Current HP: 76, A Avg: 161785, D Avg: 243410, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38287: 3101 - [10088, 8023, 188] - HP: 87, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 150482, Defense: 243402, Current HP: 87, A Avg: 161768, D Avg: 243402, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38288: 1188 - [11529, 3701, 3069] - HP: 187427, STR: 108987, VIT: 344, SPD: 1, LUK: 1, Attack: 201173, Defense: 87912, Current HP: 187427, A Avg: 216260, D Avg: 87912, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 803]]
Rank 38290: 169 - [10819, 5833, 1647] - HP: 122626, STR: 110136, VIT: 26016, SPD: 1, LUK: 2, Attack: 200045, Defense: 113584, Current HP: 122626, A Avg: 210047, D Avg: 113584, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 38290: 3075 - [10088, 8026, 185] - HP: 646, STR: 60838, VIT: 153632, SPD: 1, LUK: 2, Attack: 153024, Defense: 243410, Current HP: 646, A Avg: 160675, D Avg: 243410, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38290: 3084 - [10088, 8026, 185] - HP: 1537, STR: 55719, VIT: 154008, SPD: 1, LUK: 1, Attack: 145628, Defense: 241576, Current HP: 1537, A Avg: 183491, D Avg: 241576, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38290: 3088 - [10088, 8026, 185] - HP: 1827, STR: 54587, VIT: 153944, SPD: 1, LUK: 1, Attack: 146773, Defense: 241512, Current HP: 1827, A Avg: 184933, D Avg: 241512, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38290: 3089 - [10088, 8026, 185] - HP: 1026, STR: 55736, VIT: 154016, SPD: 1, LUK: 2, Attack: 145645, Defense: 241584, Current HP: 1026, A Avg: 183512, D Avg: 241584, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38290: 3094 - [10088, 8026, 185] - HP: 1537, STR: 55719, VIT: 154008, SPD: 1, LUK: 1, Attack: 145628, Defense: 241576, Current HP: 1537, A Avg: 182035, D Avg: 241576, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38290: 3098 - [10088, 8026, 185] - HP: 1827, STR: 54587, VIT: 153944, SPD: 1, LUK: 1, Attack: 146773, Defense: 241512, Current HP: 1827, A Avg: 183466, D Avg: 241512, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38290: 3099 - [10088, 8026, 185] - HP: 1026, STR: 55736, VIT: 154016, SPD: 1, LUK: 2, Attack: 145645, Defense: 241584, Current HP: 1026, A Avg: 182056, D Avg: 241584, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38290: 3105 - [10088, 8026, 185] - HP: 646, STR: 60838, VIT: 153632, SPD: 1, LUK: 2, Attack: 153024, Defense: 243410, Current HP: 646, A Avg: 164500, D Avg: 243410, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38290: 3115 - [10088, 8026, 185] - HP: 646, STR: 60838, VIT: 153632, SPD: 1, LUK: 2, Attack: 153024, Defense: 243410, Current HP: 646, A Avg: 160675, D Avg: 292092, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38290: 3125 - [10088, 8026, 185] - HP: 646, STR: 60838, VIT: 153632, SPD: 1, LUK: 2, Attack: 153024, Defense: 243410, Current HP: 646, A Avg: 160675, D Avg: 243410, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38291: 3077 - [10088, 8027, 184] - HP: 1216, STR: 64240, VIT: 153952, SPD: 1, LUK: 2, Attack: 156426, Defense: 241520, Current HP: 1216, A Avg: 164247, D Avg: 241520, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38291: 3117 - [10088, 8027, 184] - HP: 1216, STR: 64240, VIT: 153952, SPD: 1, LUK: 2, Attack: 156426, Defense: 241520, Current HP: 1216, A Avg: 164247, D Avg: 289824, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38291: 3127 - [10088, 8027, 184] - HP: 1216, STR: 64240, VIT: 153952, SPD: 1, LUK: 2, Attack: 156426, Defense: 241520, Current HP: 1216, A Avg: 164247, D Avg: 241520, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38292: 3107 - [10088, 8028, 183] - HP: 1216, STR: 64240, VIT: 153952, SPD: 1, LUK: 2, Attack: 156426, Defense: 241520, Current HP: 1216, A Avg: 168157, D Avg: 241520, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38292: 6958 - [10401, 7089, 809] - HP: 48227, STR: 81787, VIT: 77144, SPD: 1, LUK: 1, Attack: 173973, Defense: 164712, Current HP: 48227, A Avg: 217466, D Avg: 197654, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 68, 806]]
Rank 38297: 6971 - [10442, 6971, 886] - HP: 46487, STR: 76816, VIT: 76824, SPD: 1, LUK: 1, Attack: 176082, Defense: 166602, Current HP: 46487, A Avg: 189288, D Avg: 199922, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 803, 806]]
Rank 38300: 2540 - [10127, 7919, 253] - HP: 30476, STR: 51232, VIT: 128032, SPD: 1, LUK: 2, Attack: 150498, Defense: 217810, Current HP: 30476, A Avg: 189627, D Avg: 217810, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38300: 2550 - [10127, 7919, 253] - HP: 30476, STR: 51232, VIT: 128032, SPD: 1, LUK: 2, Attack: 150498, Defense: 217810, Current HP: 30476, A Avg: 188122, D Avg: 217810, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38305: 3080 - [10088, 8041, 170] - HP: 76, STR: 51232, VIT: 153632, SPD: 1, LUK: 2, Attack: 150498, Defense: 243410, Current HP: 76, A Avg: 189627, D Avg: 243410, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38305: 3081 - [10088, 8041, 170] - HP: 87, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 150482, Defense: 243402, Current HP: 87, A Avg: 189607, D Avg: 243402, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38305: 3090 - [10088, 8041, 170] - HP: 76, STR: 51232, VIT: 153632, SPD: 1, LUK: 2, Attack: 150498, Defense: 243410, Current HP: 76, A Avg: 188122, D Avg: 243410, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38305: 3091 - [10088, 8041, 170] - HP: 87, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 150482, Defense: 243402, Current HP: 87, A Avg: 188102, D Avg: 243402, [Sword of Evil[189, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38315: 6928 - [10411, 7082, 806] - HP: 48227, STR: 81787, VIT: 77144, SPD: 1, LUK: 1, Attack: 173973, Defense: 164712, Current HP: 48227, A Avg: 219205, D Avg: 197654, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38317: 1853 - [10387, 7156, 756] - HP: 93467, STR: 154681, VIT: 88, SPD: 1, LUK: 1, Attack: 244590, Defense: 89866, Current HP: 93467, A Avg: 256819, D Avg: 107839, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38317: 2056 - [10356, 7249, 694] - HP: 93757, STR: 51216, VIT: 102424, SPD: 1, LUK: 1, Attack: 143402, Defense: 192202, Current HP: 93757, A Avg: 150572, D Avg: 192202, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38317: 2106 - [10356, 7249, 694] - HP: 93757, STR: 51216, VIT: 102424, SPD: 1, LUK: 1, Attack: 143402, Defense: 192202, Current HP: 93757, A Avg: 150572, D Avg: 192202, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38322: 1972 - [10593, 6543, 1163] - HP: 61256, STR: 103497, VIT: 51296, SPD: 1, LUK: 2, Attack: 193406, Defense: 141074, Current HP: 61256, A Avg: 203076, D Avg: 169288, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 38323: 3095 - [10088, 8059, 152] - HP: 646, STR: 60838, VIT: 153632, SPD: 1, LUK: 2, Attack: 153024, Defense: 243410, Current HP: 646, A Avg: 191280, D Avg: 243410, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38327: 2912 - [10330, 7337, 632] - HP: 456, STR: 129097, VIT: 76896, SPD: 1, LUK: 2, Attack: 219006, Defense: 166674, Current HP: 456, A Avg: 273757, D Avg: 166674, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38327: 2913 - [10330, 7337, 632] - HP: 667, STR: 129081, VIT: 76888, SPD: 1, LUK: 1, Attack: 218990, Defense: 166666, Current HP: 667, A Avg: 273737, D Avg: 166666, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 38328: 6996 - [10523, 6759, 1017] - HP: 47357, STR: 76816, VIT: 76824, SPD: 1, LUK: 1, Attack: 169002, Defense: 166602, Current HP: 47357, A Avg: 177452, D Avg: 233242, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38333: 3086 - [10109, 8006, 184] - HP: 957, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 143402, Defense: 243402, Current HP: 957, A Avg: 180686, D Avg: 243402, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38333: 3096 - [10109, 8006, 184] - HP: 957, STR: 51216, VIT: 153624, SPD: 1, LUK: 1, Attack: 143402, Defense: 243402, Current HP: 957, A Avg: 179252, D Avg: 243402, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
