Rank 1000: HP: 855, STR: 105, VIT: 100, SPD: 7, LUK: 1, Attack: 138437, Defense: 83937, Current HP: 855, A Avg: 1153180, D Avg: 117511, [Big Bang[171, 0, 0, 0], Emerald Shield[209, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 989: HP: 996, STR: 105, VIT: 149, SPD: 7, LUK: 1, Attack: 138437, Defense: 84711, Current HP: 996, A Avg: 1153180, D Avg: 118595, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 988: HP: 996, STR: 105, VIT: 132, SPD: 7, LUK: 1, Attack: 138437, Defense: 84694, Current HP: 996, A Avg: 1153180, D Avg: 118571, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 987: HP: 801, STR: 105, VIT: 60, SPD: 7, LUK: 1, Attack: 138437, Defense: 83988, Current HP: 801, A Avg: 1153180, D Avg: 117583, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 986: HP: 896, STR: 105, VIT: 100, SPD: 7, LUK: 1, Attack: 138437, Defense: 84028, Current HP: 896, A Avg: 1153180, D Avg: 117639, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 985: HP: 896, STR: 105, VIT: 82, SPD: 7, LUK: 1, Attack: 138437, Defense: 84010, Current HP: 896, A Avg: 1153180, D Avg: 117613, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 984: HP: 740, STR: 105, VIT: 419, SPD: 7, LUK: 1, Attack: 138437, Defense: 87207, Current HP: 740, A Avg: 1153180, D Avg: 122089, [Big Bang[171, 0, 0, 0], Energy Shield[227, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 983: HP: 840, STR: 105, VIT: 456, SPD: 7, LUK: 1, Attack: 138437, Defense: 87244, Current HP: 840, A Avg: 1153180, D Avg: 122141, [Big Bang[171, 0, 0, 0], Energy Shield[227, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 982: HP: 840, STR: 105, VIT: 439, SPD: 7, LUK: 1, Attack: 138437, Defense: 87227, Current HP: 840, A Avg: 1153180, D Avg: 122117, [Big Bang[171, 0, 0, 0], Energy Shield[227, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 981: HP: 1767, STR: 105, VIT: 52, SPD: 7, LUK: 1, Attack: 138437, Defense: 85969, Current HP: 1767, A Avg: 1153180, D Avg: 120356, [Big Bang[171, 0, 0, 0], Frying Pan[231, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 980: HP: 1862, STR: 105, VIT: 91, SPD: 7, LUK: 1, Attack: 138437, Defense: 86008, Current HP: 1862, A Avg: 1153180, D Avg: 120411, [Big Bang[171, 0, 0, 0], Frying Pan[231, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 979: HP: 1862, STR: 105, VIT: 73, SPD: 7, LUK: 1, Attack: 138437, Defense: 85990, Current HP: 1862, A Avg: 1153180, D Avg: 120385, [Big Bang[171, 0, 0, 0], Frying Pan[231, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 978: HP: 1044, STR: 105, VIT: 141, SPD: 7, LUK: 1, Attack: 138437, Defense: 84875, Current HP: 1044, A Avg: 1153180, D Avg: 118824, [Big Bang[171, 0, 0, 0], Slafield[232, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 977: HP: 1144, STR: 105, VIT: 178, SPD: 7, LUK: 1, Attack: 138437, Defense: 84912, Current HP: 1144, A Avg: 1153180, D Avg: 118876, [Big Bang[171, 0, 0, 0], Slafield[232, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 976: HP: 1144, STR: 105, VIT: 161, SPD: 7, LUK: 1, Attack: 138437, Defense: 84895, Current HP: 1144, A Avg: 1153180, D Avg: 118852, [Big Bang[171, 0, 0, 0], Slafield[232, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 975: HP: 920, STR: 105, VIT: 112, SPD: 7, LUK: 1, Attack: 138437, Defense: 85587, Current HP: 920, A Avg: 1153180, D Avg: 119821, [Big Bang[171, 0, 0, 0], Mist Shield[233, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 974: HP: 1020, STR: 105, VIT: 149, SPD: 7, LUK: 1, Attack: 138437, Defense: 85624, Current HP: 1020, A Avg: 1153180, D Avg: 119873, [Big Bang[171, 0, 0, 0], Mist Shield[233, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 973: HP: 1020, STR: 105, VIT: 132, SPD: 7, LUK: 1, Attack: 138437, Defense: 85607, Current HP: 1020, A Avg: 1153180, D Avg: 119849, [Big Bang[171, 0, 0, 0], Mist Shield[233, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 972: HP: 893, STR: 105, VIT: 139, SPD: 7, LUK: 1, Attack: 138437, Defense: 85107, Current HP: 893, A Avg: 1153180, D Avg: 119149, [Big Bang[171, 0, 0, 0], Huge Shield[234, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 971: HP: 988, STR: 105, VIT: 178, SPD: 7, LUK: 1, Attack: 138437, Defense: 85146, Current HP: 988, A Avg: 1153180, D Avg: 119204, [Big Bang[171, 0, 0, 0], Huge Shield[234, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 970: HP: 988, STR: 105, VIT: 160, SPD: 7, LUK: 1, Attack: 138437, Defense: 85128, Current HP: 988, A Avg: 1153180, D Avg: 119179, [Big Bang[171, 0, 0, 0], Huge Shield[234, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 969: HP: 817, STR: 105, VIT: 278, SPD: 7, LUK: 1, Attack: 138437, Defense: 87118, Current HP: 817, A Avg: 1153180, D Avg: 121965, [Big Bang[171, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 968: HP: 912, STR: 105, VIT: 315, SPD: 7, LUK: 1, Attack: 138437, Defense: 87155, Current HP: 912, A Avg: 1153180, D Avg: 122016, [Big Bang[171, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 967: HP: 912, STR: 105, VIT: 298, SPD: 7, LUK: 1, Attack: 138437, Defense: 87138, Current HP: 912, A Avg: 1153180, D Avg: 121993, [Big Bang[171, 0, 0, 0], Aurora Shield[240, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 966: HP: 860, STR: 105, VIT: 124, SPD: 7, LUK: 1, Attack: 138437, Defense: 87549, Current HP: 860, A Avg: 1153180, D Avg: 122568, [Big Bang[171, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 965: HP: 960, STR: 105, VIT: 161, SPD: 7, LUK: 1, Attack: 138437, Defense: 87586, Current HP: 960, A Avg: 1153180, D Avg: 122620, [Big Bang[171, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 964: HP: 960, STR: 105, VIT: 145, SPD: 7, LUK: 1, Attack: 138437, Defense: 87570, Current HP: 960, A Avg: 1153180, D Avg: 122597, [Big Bang[171, 0, 0, 0], Cloud Shield[241, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 963: HP: 703, STR: 105, VIT: 49, SPD: 7, LUK: 1, Attack: 138437, Defense: 86838, Current HP: 703, A Avg: 1153180, D Avg: 121573, [Big Bang[171, 0, 0, 0], Graffiti[243, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 962: HP: 798, STR: 105, VIT: 87, SPD: 7, LUK: 1, Attack: 138437, Defense: 86876, Current HP: 798, A Avg: 1153180, D Avg: 121626, [Big Bang[171, 0, 0, 0], Graffiti[243, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 961: HP: 798, STR: 105, VIT: 70, SPD: 7, LUK: 1, Attack: 138437, Defense: 86859, Current HP: 798, A Avg: 1153180, D Avg: 121602, [Big Bang[171, 0, 0, 0], Graffiti[243, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 960: HP: 703, STR: 105, VIT: 215, SPD: 7, LUK: 1, Attack: 138437, Defense: 89993, Current HP: 703, A Avg: 1153180, D Avg: 125990, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 959: HP: 798, STR: 105, VIT: 253, SPD: 7, LUK: 1, Attack: 138437, Defense: 90031, Current HP: 798, A Avg: 1153180, D Avg: 126043, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 958: HP: 798, STR: 105, VIT: 236, SPD: 7, LUK: 1, Attack: 138437, Defense: 90014, Current HP: 798, A Avg: 1153180, D Avg: 126019, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 957: HP: 1178, STR: 105, VIT: 487, SPD: 7, LUK: 1, Attack: 138437, Defense: 87275, Current HP: 1178, A Avg: 1153180, D Avg: 122184, [Big Bang[171, 0, 0, 0], Golem Shield[245, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 956: HP: 1273, STR: 105, VIT: 526, SPD: 7, LUK: 1, Attack: 138437, Defense: 87314, Current HP: 1273, A Avg: 1153180, D Avg: 122239, [Big Bang[171, 0, 0, 0], Golem Shield[245, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 955: HP: 1273, STR: 105, VIT: 508, SPD: 7, LUK: 1, Attack: 138437, Defense: 87296, Current HP: 1273, A Avg: 1153180, D Avg: 122214, [Big Bang[171, 0, 0, 0], Golem Shield[245, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 954: HP: 988, STR: 105, VIT: 136, SPD: 8, LUK: 1, Attack: 138437, Defense: 86014, Current HP: 988, A Avg: 1153180, D Avg: 120419, [Big Bang[171, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 953: HP: 1083, STR: 105, VIT: 174, SPD: 8, LUK: 1, Attack: 138437, Defense: 86052, Current HP: 1083, A Avg: 1153180, D Avg: 120472, [Big Bang[171, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 952: HP: 1083, STR: 105, VIT: 157, SPD: 8, LUK: 1, Attack: 138437, Defense: 86035, Current HP: 1083, A Avg: 1153180, D Avg: 120448, [Big Bang[171, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 951: HP: 1022, STR: 105, VIT: 213, SPD: 7, LUK: 1, Attack: 138437, Defense: 86429, Current HP: 1022, A Avg: 1153180, D Avg: 121000, [Big Bang[171, 0, 0, 0], King Shield[248, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 950: HP: 1117, STR: 105, VIT: 252, SPD: 7, LUK: 1, Attack: 138437, Defense: 86468, Current HP: 1117, A Avg: 1153180, D Avg: 121055, [Big Bang[171, 0, 0, 0], King Shield[248, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 949: HP: 1117, STR: 105, VIT: 234, SPD: 7, LUK: 1, Attack: 138437, Defense: 86450, Current HP: 1117, A Avg: 1153180, D Avg: 121029, [Big Bang[171, 0, 0, 0], King Shield[248, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 948: HP: 1140, STR: 105, VIT: 498, SPD: 7, LUK: 1, Attack: 138437, Defense: 87533, Current HP: 1140, A Avg: 1153180, D Avg: 122546, [Big Bang[171, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 947: HP: 1240, STR: 105, VIT: 535, SPD: 7, LUK: 1, Attack: 138437, Defense: 87570, Current HP: 1240, A Avg: 1153180, D Avg: 122597, [Big Bang[171, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 946: HP: 1240, STR: 105, VIT: 518, SPD: 7, LUK: 1, Attack: 138437, Defense: 87553, Current HP: 1240, A Avg: 1153180, D Avg: 122574, [Big Bang[171, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 945: HP: 740, STR: 105, VIT: 149, SPD: 7, LUK: 1, Attack: 138437, Defense: 87197, Current HP: 740, A Avg: 1153180, D Avg: 122075, [Big Bang[171, 0, 0, 0], Ghost shield[251, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 944: HP: 840, STR: 105, VIT: 186, SPD: 7, LUK: 1, Attack: 138437, Defense: 87234, Current HP: 840, A Avg: 1153180, D Avg: 122127, [Big Bang[171, 0, 0, 0], Ghost shield[251, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 943: HP: 840, STR: 105, VIT: 170, SPD: 7, LUK: 1, Attack: 138437, Defense: 87218, Current HP: 840, A Avg: 1153180, D Avg: 122105, [Big Bang[171, 0, 0, 0], Ghost shield[251, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 942: HP: 1078, STR: 107, VIT: 158, SPD: 7, LUK: 1, Attack: 138440, Defense: 85022, Current HP: 1078, A Avg: 1153205, D Avg: 119030, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 941: HP: 990, STR: 107, VIT: 178, SPD: 8, LUK: 1, Attack: 138440, Defense: 84600, Current HP: 990, A Avg: 1153205, D Avg: 118439, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 940: HP: 722, STR: 108, VIT: 76, SPD: 7, LUK: 1, Attack: 138442, Defense: 84082, Current HP: 722, A Avg: 1153221, D Avg: 117714, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 939: HP: 817, STR: 108, VIT: 114, SPD: 7, LUK: 1, Attack: 138442, Defense: 84120, Current HP: 817, A Avg: 1153221, D Avg: 117767, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 938: HP: 817, STR: 108, VIT: 97, SPD: 7, LUK: 1, Attack: 138442, Defense: 84103, Current HP: 817, A Avg: 1153221, D Avg: 117744, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 937: HP: 703, STR: 108, VIT: 464, SPD: 7, LUK: 1, Attack: 138442, Defense: 86134, Current HP: 703, A Avg: 1153221, D Avg: 120587, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 936: HP: 798, STR: 108, VIT: 502, SPD: 7, LUK: 1, Attack: 138442, Defense: 86172, Current HP: 798, A Avg: 1153221, D Avg: 120640, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 935: HP: 798, STR: 108, VIT: 485, SPD: 7, LUK: 1, Attack: 138442, Defense: 86155, Current HP: 798, A Avg: 1153221, D Avg: 120616, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 934: HP: 968, STR: 109, VIT: 252, SPD: 7, LUK: 1, Attack: 138443, Defense: 84843, Current HP: 968, A Avg: 1153230, D Avg: 118780, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 933: HP: 1215, STR: 111, VIT: 66, SPD: 8, LUK: 1, Attack: 138446, Defense: 84091, Current HP: 1215, A Avg: 1153255, D Avg: 117727, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 932: HP: 946, STR: 111, VIT: 56, SPD: 8, LUK: 2, Attack: 138446, Defense: 84081, Current HP: 946, A Avg: 1153255, D Avg: 117713, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 931: HP: 855, STR: 112, VIT: 100, SPD: 7, LUK: 2, Attack: 138448, Defense: 84964, Current HP: 855, A Avg: 1153271, D Avg: 118949, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 930: HP: 779, STR: 112, VIT: 112, SPD: 8, LUK: 2, Attack: 138448, Defense: 84534, Current HP: 779, A Avg: 1153271, D Avg: 118347, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 929: HP: 836, STR: 113, VIT: 114, SPD: 7, LUK: 1, Attack: 138449, Defense: 84978, Current HP: 836, A Avg: 1153280, D Avg: 118969, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 928: HP: 760, STR: 113, VIT: 135, SPD: 8, LUK: 1, Attack: 138449, Defense: 84557, Current HP: 760, A Avg: 1153280, D Avg: 118379, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 927: HP: 1382, STR: 113, VIT: 78, SPD: 7, LUK: 1, Attack: 138449, Defense: 84019, Current HP: 1382, A Avg: 1153280, D Avg: 117626, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 926: HP: 1060, STR: 113, VIT: 67, SPD: 7, LUK: 2, Attack: 138449, Defense: 84008, Current HP: 1060, A Avg: 1153280, D Avg: 117611, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 925: HP: 532, STR: 2391, VIT: 132, SPD: 12, LUK: 1, Attack: 138450, Defense: 84320, Current HP: 532, A Avg: 1153288, D Avg: 118047, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 924: HP: 760, STR: 115, VIT: 161, SPD: 7, LUK: 2, Attack: 138452, Defense: 84752, Current HP: 760, A Avg: 1153305, D Avg: 118652, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 923: HP: 1028, STR: 115, VIT: 88, SPD: 9, LUK: 1, Attack: 138452, Defense: 84113, Current HP: 1028, A Avg: 1153305, D Avg: 117758, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 922: HP: 741, STR: 116, VIT: 209, SPD: 7, LUK: 1, Attack: 138454, Defense: 84800, Current HP: 741, A Avg: 1153321, D Avg: 118719, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 921: HP: 792, STR: 116, VIT: 98, SPD: 7, LUK: 1, Attack: 138454, Defense: 84104, Current HP: 792, A Avg: 1153321, D Avg: 117745, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 920: HP: 1194, STR: 116, VIT: 76, SPD: 7, LUK: 1, Attack: 138454, Defense: 84082, Current HP: 1194, A Avg: 1153321, D Avg: 117714, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 919: HP: 820, STR: 116, VIT: 76, SPD: 14, LUK: 1, Attack: 138454, Defense: 84082, Current HP: 820, A Avg: 1153321, D Avg: 117714, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 918: HP: 801, STR: 116, VIT: 87, SPD: 12, LUK: 1, Attack: 138454, Defense: 84093, Current HP: 801, A Avg: 1153321, D Avg: 117730, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 917: HP: 1126, STR: 116, VIT: 129, SPD: 7, LUK: 1, Attack: 138454, Defense: 84135, Current HP: 1126, A Avg: 1153321, D Avg: 117788, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 916: HP: 839, STR: 116, VIT: 107, SPD: 12, LUK: 1, Attack: 138454, Defense: 84113, Current HP: 839, A Avg: 1153321, D Avg: 117758, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 915: HP: 788, STR: 117, VIT: 221, SPD: 7, LUK: 1, Attack: 138455, Defense: 87139, Current HP: 788, A Avg: 1153330, D Avg: 121994, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 914: HP: 1189, STR: 117, VIT: 159, SPD: 7, LUK: 1, Attack: 138455, Defense: 87077, Current HP: 1189, A Avg: 1153330, D Avg: 121907, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 913: HP: 817, STR: 117, VIT: 159, SPD: 14, LUK: 1, Attack: 138455, Defense: 87077, Current HP: 817, A Avg: 1153330, D Avg: 121907, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 912: HP: 798, STR: 117, VIT: 170, SPD: 12, LUK: 1, Attack: 138455, Defense: 87088, Current HP: 798, A Avg: 1153330, D Avg: 121923, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 911: HP: 1122, STR: 117, VIT: 252, SPD: 7, LUK: 1, Attack: 138455, Defense: 87170, Current HP: 1122, A Avg: 1153330, D Avg: 122037, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 910: HP: 836, STR: 117, VIT: 190, SPD: 12, LUK: 1, Attack: 138455, Defense: 87108, Current HP: 836, A Avg: 1153330, D Avg: 121951, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 909: HP: 1346, STR: 117, VIT: 97, SPD: 7, LUK: 1, Attack: 138455, Defense: 85715, Current HP: 1346, A Avg: 1153330, D Avg: 120000, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 908: HP: 1053, STR: 117, VIT: 87, SPD: 7, LUK: 2, Attack: 138455, Defense: 85705, Current HP: 1053, A Avg: 1153330, D Avg: 119986, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 907: HP: 798, STR: 2396, VIT: 538, SPD: 7, LUK: 1, Attack: 138457, Defense: 84544, Current HP: 798, A Avg: 1153346, D Avg: 118361, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 906: HP: 779, STR: 2396, VIT: 1113, SPD: 7, LUK: 1, Attack: 138457, Defense: 86783, Current HP: 779, A Avg: 1153346, D Avg: 121496, [Spectral Sword Shigure[172, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 905: HP: 1138, STR: 118, VIT: 102, SPD: 9, LUK: 1, Attack: 138457, Defense: 84043, Current HP: 1138, A Avg: 1153346, D Avg: 117660, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 904: HP: 1267, STR: 119, VIT: 232, SPD: 7, LUK: 1, Attack: 138458, Defense: 85070, Current HP: 1267, A Avg: 1153355, D Avg: 119097, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 903: HP: 981, STR: 119, VIT: 221, SPD: 7, LUK: 2, Attack: 138458, Defense: 85059, Current HP: 981, A Avg: 1153355, D Avg: 119082, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
