Rank 1000: HP: 1585, STR: 8061, VIT: 1469, SPD: 72, LUK: 1, Attack: 140908, Defense: 86697, Current HP: 1585, A Avg: 1173763, D Avg: 121375, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 975: HP: 2318, STR: 7692, VIT: 1498, SPD: 76, LUK: 1, Attack: 141057, Defense: 89326, Current HP: 2318, A Avg: 1175004, D Avg: 125056, [Progress[147, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 974: HP: 1767, STR: 4138, VIT: 1834, SPD: 103, LUK: 1, Attack: 141070, Defense: 89402, Current HP: 1767, A Avg: 1175113, D Avg: 125162, [Spectral Sword Shigure[172, 0, 0, 0], Storm Wall[242, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 973: HP: 1440, STR: 1862, VIT: 215, SPD: 72, LUK: 1, Attack: 141073, Defense: 84351, Current HP: 1440, A Avg: 1175138, D Avg: 118091, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 972: HP: 836, STR: 6395, VIT: 670, SPD: 63, LUK: 1, Attack: 141084, Defense: 85261, Current HP: 836, A Avg: 1175229, D Avg: 119365, [Neural Edge[190, 0, 0, 0], Black Hole[229, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 971: HP: 931, STR: 6395, VIT: 852, SPD: 63, LUK: 1, Attack: 141084, Defense: 85443, Current HP: 931, A Avg: 1175229, D Avg: 119620, [Neural Edge[190, 0, 0, 0], Black Hole[229, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 970: HP: 931, STR: 6395, VIT: 690, SPD: 63, LUK: 1, Attack: 141084, Defense: 85281, Current HP: 931, A Avg: 1175229, D Avg: 119393, [Neural Edge[190, 0, 0, 0], Black Hole[229, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 969: HP: 1206, STR: 6395, VIT: 751, SPD: 63, LUK: 1, Attack: 141084, Defense: 87669, Current HP: 1206, A Avg: 1175229, D Avg: 122736, [Neural Edge[190, 0, 0, 0], White Hole[230, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 968: HP: 1301, STR: 6395, VIT: 933, SPD: 63, LUK: 1, Attack: 141084, Defense: 87851, Current HP: 1301, A Avg: 1175229, D Avg: 122991, [Neural Edge[190, 0, 0, 0], White Hole[230, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 967: HP: 1301, STR: 6395, VIT: 771, SPD: 63, LUK: 1, Attack: 141084, Defense: 87689, Current HP: 1301, A Avg: 1175229, D Avg: 122764, [Neural Edge[190, 0, 0, 0], White Hole[230, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 966: HP: 2128, STR: 1875, VIT: 1002, SPD: 76, LUK: 1, Attack: 141092, Defense: 84865, Current HP: 2128, A Avg: 1175296, D Avg: 118810, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 965: HP: 4950, STR: 6252, VIT: 3830, SPD: 76, LUK: 1, Attack: 141120, Defense: 91255, Current HP: 4950, A Avg: 1175529, D Avg: 127756, [Stargazer[183, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 964: HP: 1187, STR: 4178, VIT: 273, SPD: 68, LUK: 1, Attack: 141130, Defense: 84617, Current HP: 1187, A Avg: 1175612, D Avg: 118463, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 963: HP: 1798, STR: 4178, VIT: 195, SPD: 68, LUK: 1, Attack: 141130, Defense: 84539, Current HP: 1798, A Avg: 1175612, D Avg: 118354, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 962: HP: 1216, STR: 4178, VIT: 195, SPD: 120, LUK: 1, Attack: 141130, Defense: 84539, Current HP: 1216, A Avg: 1175612, D Avg: 118354, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 961: HP: 1584, STR: 4178, VIT: 304, SPD: 68, LUK: 1, Attack: 141130, Defense: 84648, Current HP: 1584, A Avg: 1175612, D Avg: 118507, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 960: HP: 1860, STR: 6429, VIT: 732, SPD: 63, LUK: 1, Attack: 141135, Defense: 86844, Current HP: 1860, A Avg: 1175654, D Avg: 121581, [Neural Edge[190, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 959: HP: 1960, STR: 6429, VIT: 915, SPD: 63, LUK: 1, Attack: 141135, Defense: 87027, Current HP: 1960, A Avg: 1175654, D Avg: 121837, [Neural Edge[190, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 958: HP: 1960, STR: 6429, VIT: 753, SPD: 63, LUK: 1, Attack: 141135, Defense: 86865, Current HP: 1960, A Avg: 1175654, D Avg: 121610, [Neural Edge[190, 0, 0, 0], Goblin Hand[250, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 957: HP: 1178, STR: 4189, VIT: 273, SPD: 68, LUK: 1, Attack: 141147, Defense: 84617, Current HP: 1178, A Avg: 1175754, D Avg: 118463, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 956: HP: 1178, STR: 4189, VIT: 304, SPD: 68, LUK: 1, Attack: 141147, Defense: 84648, Current HP: 1178, A Avg: 1175754, D Avg: 118507, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 955: HP: 1943, STR: 4189, VIT: 215, SPD: 68, LUK: 1, Attack: 141147, Defense: 84559, Current HP: 1943, A Avg: 1175754, D Avg: 118382, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 954: HP: 1175, STR: 5936, VIT: 411, SPD: 72, LUK: 1, Attack: 141154, Defense: 88239, Current HP: 1175, A Avg: 1175812, D Avg: 123534, [Basic[169, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 953: HP: 5624, STR: 8292, VIT: 1442, SPD: 80, LUK: 1, Attack: 141157, Defense: 85786, Current HP: 5624, A Avg: 1175837, D Avg: 120100, [Spear of Regression[182, 0, 0, 0], V Magnum[238, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 952: HP: 1197, STR: 4199, VIT: 205, SPD: 68, LUK: 2, Attack: 141162, Defense: 84549, Current HP: 1197, A Avg: 1175879, D Avg: 118368, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 951: HP: 2220, STR: 4201, VIT: 821, SPD: 63, LUK: 1, Attack: 141165, Defense: 84544, Current HP: 2220, A Avg: 1175904, D Avg: 118361, [Spectral Sword Shigure[172, 0, 0, 0], Pot Lid[201, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 950: HP: 2220, STR: 4201, VIT: 821, SPD: 63, LUK: 1, Attack: 141165, Defense: 84554, Current HP: 2220, A Avg: 1175904, D Avg: 118375, [Spectral Sword Shigure[172, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 949: HP: 2109, STR: 4201, VIT: 863, SPD: 63, LUK: 1, Attack: 141165, Defense: 84732, Current HP: 2109, A Avg: 1175904, D Avg: 118624, [Spectral Sword Shigure[172, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 948: HP: 2109, STR: 4201, VIT: 873, SPD: 63, LUK: 1, Attack: 141165, Defense: 84677, Current HP: 2109, A Avg: 1175904, D Avg: 118547, [Spectral Sword Shigure[172, 0, 0, 0], Iron Shield[204, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 947: HP: 2109, STR: 4201, VIT: 971, SPD: 63, LUK: 1, Attack: 141165, Defense: 84834, Current HP: 2109, A Avg: 1175904, D Avg: 118767, [Spectral Sword Shigure[172, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 946: HP: 2109, STR: 4201, VIT: 1003, SPD: 63, LUK: 1, Attack: 141165, Defense: 84892, Current HP: 2109, A Avg: 1175904, D Avg: 118848, [Spectral Sword Shigure[172, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 945: HP: 2220, STR: 4201, VIT: 1076, SPD: 63, LUK: 1, Attack: 141165, Defense: 84952, Current HP: 2220, A Avg: 1175904, D Avg: 118932, [Spectral Sword Shigure[172, 0, 0, 0], Magic Shield[207, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 944: HP: 2498, STR: 4201, VIT: 1219, SPD: 63, LUK: 1, Attack: 141165, Defense: 85056, Current HP: 2498, A Avg: 1175904, D Avg: 119078, [Spectral Sword Shigure[172, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 943: HP: 2280, STR: 4201, VIT: 956, SPD: 63, LUK: 1, Attack: 141165, Defense: 84728, Current HP: 2280, A Avg: 1175904, D Avg: 118619, [Spectral Sword Shigure[172, 0, 0, 0], Clear Shield[211, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 942: HP: 2320, STR: 4201, VIT: 1076, SPD: 63, LUK: 1, Attack: 141165, Defense: 85095, Current HP: 2320, A Avg: 1175904, D Avg: 119132, [Spectral Sword Shigure[172, 0, 0, 0], Prism Shield[212, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 941: HP: 2185, STR: 4201, VIT: 987, SPD: 63, LUK: 1, Attack: 141165, Defense: 84915, Current HP: 2185, A Avg: 1175904, D Avg: 118880, [Spectral Sword Shigure[172, 0, 0, 0], Tower Shield[213, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 940: HP: 2866, STR: 4201, VIT: 1451, SPD: 63, LUK: 1, Attack: 141165, Defense: 86013, Current HP: 2866, A Avg: 1175904, D Avg: 120418, [Spectral Sword Shigure[172, 0, 0, 0], Slime Shield[221, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 939: HP: 2739, STR: 4201, VIT: 971, SPD: 63, LUK: 1, Attack: 141165, Defense: 84899, Current HP: 2739, A Avg: 1175904, D Avg: 118858, [Spectral Sword Shigure[172, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 938: HP: 2220, STR: 4201, VIT: 2121, SPD: 63, LUK: 1, Attack: 141165, Defense: 88909, Current HP: 2220, A Avg: 1175904, D Avg: 124472, [Spectral Sword Shigure[172, 0, 0, 0], Energy Shield[227, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 937: HP: 4170, STR: 4201, VIT: 847, SPD: 63, LUK: 1, Attack: 141165, Defense: 86764, Current HP: 4170, A Avg: 1175904, D Avg: 121469, [Spectral Sword Shigure[172, 0, 0, 0], Frying Pan[231, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 936: HP: 3084, STR: 4201, VIT: 1602, SPD: 63, LUK: 1, Attack: 141165, Defense: 86336, Current HP: 3084, A Avg: 1175904, D Avg: 120870, [Spectral Sword Shigure[172, 0, 0, 0], Slafield[232, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 935: HP: 2750, STR: 4201, VIT: 1451, SPD: 63, LUK: 1, Attack: 141165, Defense: 86926, Current HP: 2750, A Avg: 1175904, D Avg: 121696, [Spectral Sword Shigure[172, 0, 0, 0], Mist Shield[233, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 934: HP: 2299, STR: 4201, VIT: 2085, SPD: 63, LUK: 1, Attack: 141165, Defense: 87053, Current HP: 2299, A Avg: 1175904, D Avg: 121874, [Spectral Sword Shigure[172, 0, 0, 0], Huge Shield[234, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 933: HP: 2223, STR: 4201, VIT: 2235, SPD: 63, LUK: 1, Attack: 141165, Defense: 89075, Current HP: 2223, A Avg: 1175904, D Avg: 124704, [Spectral Sword Shigure[172, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 932: HP: 3390, STR: 4201, VIT: 1900, SPD: 63, LUK: 1, Attack: 141165, Defense: 89325, Current HP: 3390, A Avg: 1175904, D Avg: 125054, [Spectral Sword Shigure[172, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 931: HP: 2109, STR: 4201, VIT: 821, SPD: 63, LUK: 1, Attack: 141165, Defense: 87610, Current HP: 2109, A Avg: 1175904, D Avg: 122653, [Spectral Sword Shigure[172, 0, 0, 0], Graffiti[243, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 930: HP: 2109, STR: 4201, VIT: 3219, SPD: 63, LUK: 1, Attack: 141165, Defense: 92997, Current HP: 2109, A Avg: 1175904, D Avg: 130195, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 929: HP: 2584, STR: 4201, VIT: 4260, SPD: 63, LUK: 1, Attack: 141165, Defense: 91048, Current HP: 2584, A Avg: 1175904, D Avg: 127467, [Spectral Sword Shigure[172, 0, 0, 0], Golem Shield[245, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 928: HP: 2394, STR: 4201, VIT: 1811, SPD: 68, LUK: 1, Attack: 141165, Defense: 87689, Current HP: 2394, A Avg: 1175904, D Avg: 122764, [Spectral Sword Shigure[172, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 927: HP: 3226, STR: 4201, VIT: 1749, SPD: 63, LUK: 1, Attack: 141165, Defense: 87965, Current HP: 3226, A Avg: 1175904, D Avg: 123150, [Spectral Sword Shigure[172, 0, 0, 0], King Shield[248, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 926: HP: 2620, STR: 4201, VIT: 1915, SPD: 63, LUK: 1, Attack: 141165, Defense: 88950, Current HP: 2620, A Avg: 1175904, D Avg: 124529, [Spectral Sword Shigure[172, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 925: HP: 2220, STR: 4201, VIT: 2260, SPD: 63, LUK: 1, Attack: 141165, Defense: 89308, Current HP: 2220, A Avg: 1175904, D Avg: 125031, [Spectral Sword Shigure[172, 0, 0, 0], Ghost shield[251, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 924: HP: 3401, STR: 6283, VIT: 2780, SPD: 72, LUK: 1, Attack: 141166, Defense: 86968, Current HP: 3401, A Avg: 1175912, D Avg: 121755, [Stargazer[183, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 923: HP: 5909, STR: 8301, VIT: 674, SPD: 68, LUK: 1, Attack: 141171, Defense: 87462, Current HP: 5909, A Avg: 1175954, D Avg: 122446, [Spear of Regression[182, 0, 0, 0], C Magnum[239, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 922: HP: 1368, STR: 1928, VIT: 101, SPD: 68, LUK: 1, Attack: 141172, Defense: 84237, Current HP: 1368, A Avg: 1175962, D Avg: 117931, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 921: HP: 1178, STR: 6460, VIT: 878, SPD: 63, LUK: 1, Attack: 141182, Defense: 85872, Current HP: 1178, A Avg: 1176046, D Avg: 120220, [Neural Edge[190, 0, 0, 0], Metalization[228, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 920: HP: 1273, STR: 6460, VIT: 1070, SPD: 63, LUK: 1, Attack: 141182, Defense: 86064, Current HP: 1273, A Avg: 1176046, D Avg: 120489, [Neural Edge[190, 0, 0, 0], Metalization[228, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 919: HP: 1273, STR: 6460, VIT: 900, SPD: 63, LUK: 1, Attack: 141182, Defense: 85894, Current HP: 1273, A Avg: 1176046, D Avg: 120251, [Neural Edge[190, 0, 0, 0], Metalization[228, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 918: HP: 2407, STR: 4228, VIT: 1235, SPD: 63, LUK: 1, Attack: 141205, Defense: 85176, Current HP: 2407, A Avg: 1176237, D Avg: 119246, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 917: HP: 1543, STR: 6477, VIT: 907, SPD: 72, LUK: 1, Attack: 141207, Defense: 86135, Current HP: 1543, A Avg: 1176254, D Avg: 120588, [Neural Edge[190, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 916: HP: 1786, STR: 1955, VIT: 667, SPD: 63, LUK: 1, Attack: 141212, Defense: 85895, Current HP: 1786, A Avg: 1176295, D Avg: 120252, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 915: HP: 2711, STR: 1955, VIT: 460, SPD: 63, LUK: 1, Attack: 141212, Defense: 85688, Current HP: 2711, A Avg: 1176295, D Avg: 119963, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 914: HP: 1814, STR: 1955, VIT: 460, SPD: 116, LUK: 1, Attack: 141212, Defense: 85688, Current HP: 1814, A Avg: 1176295, D Avg: 119963, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 913: HP: 1795, STR: 1955, VIT: 471, SPD: 103, LUK: 1, Attack: 141212, Defense: 85699, Current HP: 1795, A Avg: 1176295, D Avg: 119978, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 912: HP: 2277, STR: 1955, VIT: 698, SPD: 63, LUK: 1, Attack: 141212, Defense: 85926, Current HP: 2277, A Avg: 1176295, D Avg: 120296, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 911: HP: 1833, STR: 1955, VIT: 491, SPD: 103, LUK: 1, Attack: 141212, Defense: 85719, Current HP: 1833, A Avg: 1176295, D Avg: 120006, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 910: HP: 2850, STR: 6319, VIT: 2292, SPD: 68, LUK: 1, Attack: 141220, Defense: 86428, Current HP: 2850, A Avg: 1176362, D Avg: 120999, [Stargazer[183, 0, 0, 0], Magnum[237, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 909: HP: 2015, STR: 4241, VIT: 195, SPD: 68, LUK: 1, Attack: 141225, Defense: 84539, Current HP: 2015, A Avg: 1176404, D Avg: 118354, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 908: HP: 1496, STR: 4241, VIT: 184, SPD: 68, LUK: 2, Attack: 141225, Defense: 84528, Current HP: 1496, A Avg: 1176404, D Avg: 118339, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 907: HP: 1776, STR: 1966, VIT: 698, SPD: 63, LUK: 1, Attack: 141229, Defense: 85926, Current HP: 1776, A Avg: 1176437, D Avg: 120296, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 906: HP: 2856, STR: 1966, VIT: 481, SPD: 63, LUK: 1, Attack: 141229, Defense: 85709, Current HP: 2856, A Avg: 1176437, D Avg: 119992, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Glazed[309, 0, 0, 0]]
