Rank 1000: HP: 1680, STR: 365, VIT: 441, SPD: 51, LUK: 1, Attack: 138827, Defense: 86553, Current HP: 1680, A Avg: 1156428, D Avg: 121174, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 986: HP: 1648, STR: 379, VIT: 353, SPD: 36, LUK: 1, Attack: 138848, Defense: 84593, Current HP: 1648, A Avg: 1156603, D Avg: 118430, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 985: HP: 1035, STR: 2664, VIT: 232, SPD: 31, LUK: 2, Attack: 138859, Defense: 84121, Current HP: 1035, A Avg: 1156695, D Avg: 117769, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 984: HP: 1377, STR: 386, VIT: 869, SPD: 31, LUK: 1, Attack: 138859, Defense: 85863, Current HP: 1377, A Avg: 1156695, D Avg: 120208, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 983: HP: 2088, STR: 386, VIT: 606, SPD: 31, LUK: 1, Attack: 138859, Defense: 85600, Current HP: 2088, A Avg: 1156695, D Avg: 119839, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 982: HP: 1406, STR: 386, VIT: 606, SPD: 58, LUK: 1, Attack: 138859, Defense: 85600, Current HP: 1406, A Avg: 1156695, D Avg: 119839, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 981: HP: 1387, STR: 386, VIT: 617, SPD: 51, LUK: 1, Attack: 138859, Defense: 85611, Current HP: 1387, A Avg: 1156695, D Avg: 119855, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 980: HP: 1804, STR: 386, VIT: 901, SPD: 31, LUK: 1, Attack: 138859, Defense: 85895, Current HP: 1804, A Avg: 1156695, D Avg: 120252, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 979: HP: 1425, STR: 386, VIT: 639, SPD: 51, LUK: 1, Attack: 138859, Defense: 85633, Current HP: 1425, A Avg: 1156695, D Avg: 119886, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 978: HP: 670, STR: 4913, VIT: 363, SPD: 34, LUK: 1, Attack: 138861, Defense: 85591, Current HP: 670, A Avg: 1156712, D Avg: 119827, [Neural Edge[190, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 977: HP: 1156, STR: 389, VIT: 265, SPD: 34, LUK: 1, Attack: 138863, Defense: 84765, Current HP: 1156, A Avg: 1156728, D Avg: 118670, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 976: HP: 1465, STR: 391, VIT: 293, SPD: 36, LUK: 1, Attack: 138866, Defense: 84793, Current HP: 1465, A Avg: 1156753, D Avg: 118710, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 975: HP: 883, STR: 4918, VIT: 267, SPD: 31, LUK: 1, Attack: 138869, Defense: 84156, Current HP: 883, A Avg: 1156778, D Avg: 117818, [Neural Edge[190, 0, 0, 0], Small Lion[219, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 974: HP: 2584, STR: 4700, VIT: 848, SPD: 31, LUK: 1, Attack: 138873, Defense: 88676, Current HP: 2584, A Avg: 1156812, D Avg: 124146, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 973: HP: 963, STR: 2673, VIT: 242, SPD: 31, LUK: 2, Attack: 138873, Defense: 84248, Current HP: 963, A Avg: 1156812, D Avg: 117947, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 972: HP: 1368, STR: 396, VIT: 901, SPD: 31, LUK: 1, Attack: 138874, Defense: 85895, Current HP: 1368, A Avg: 1156820, D Avg: 120252, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 971: HP: 2233, STR: 396, VIT: 628, SPD: 31, LUK: 1, Attack: 138874, Defense: 85622, Current HP: 2233, A Avg: 1156820, D Avg: 119870, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 970: HP: 1322, STR: 398, VIT: 370, SPD: 36, LUK: 1, Attack: 138877, Defense: 84233, Current HP: 1322, A Avg: 1156845, D Avg: 117926, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 969: HP: 1026, STR: 4924, VIT: 719, SPD: 31, LUK: 1, Attack: 138878, Defense: 85713, Current HP: 1026, A Avg: 1156853, D Avg: 119998, [Neural Edge[190, 0, 0, 0], Metalization[228, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 968: HP: 1026, STR: 399, VIT: 531, SPD: 31, LUK: 1, Attack: 138878, Defense: 85122, Current HP: 1026, A Avg: 1156853, D Avg: 119170, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 967: HP: 1040, STR: 399, VIT: 60, SPD: 31, LUK: 1, Attack: 138878, Defense: 83783, Current HP: 1040, A Avg: 1156853, D Avg: 117296, [Big Bang[171, 0, 0, 0], Pot Lid[201, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 966: HP: 1040, STR: 399, VIT: 60, SPD: 31, LUK: 1, Attack: 138878, Defense: 83793, Current HP: 1040, A Avg: 1156853, D Avg: 117310, [Big Bang[171, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 965: HP: 988, STR: 399, VIT: 73, SPD: 31, LUK: 1, Attack: 138878, Defense: 83942, Current HP: 988, A Avg: 1156853, D Avg: 117518, [Big Bang[171, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 964: HP: 988, STR: 399, VIT: 80, SPD: 31, LUK: 1, Attack: 138878, Defense: 83884, Current HP: 988, A Avg: 1156853, D Avg: 117437, [Big Bang[171, 0, 0, 0], Iron Shield[204, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 963: HP: 988, STR: 399, VIT: 104, SPD: 31, LUK: 1, Attack: 138878, Defense: 83967, Current HP: 988, A Avg: 1156853, D Avg: 117553, [Big Bang[171, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 962: HP: 988, STR: 399, VIT: 126, SPD: 31, LUK: 1, Attack: 138878, Defense: 84015, Current HP: 988, A Avg: 1156853, D Avg: 117620, [Big Bang[171, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 961: HP: 1040, STR: 399, VIT: 149, SPD: 31, LUK: 1, Attack: 138878, Defense: 84025, Current HP: 1040, A Avg: 1156853, D Avg: 117634, [Big Bang[171, 0, 0, 0], Magic Shield[207, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 960: HP: 1187, STR: 399, VIT: 187, SPD: 31, LUK: 1, Attack: 138878, Defense: 84024, Current HP: 1187, A Avg: 1156853, D Avg: 117633, [Big Bang[171, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 959: HP: 1100, STR: 399, VIT: 109, SPD: 31, LUK: 1, Attack: 138878, Defense: 83881, Current HP: 1100, A Avg: 1156853, D Avg: 117433, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 958: HP: 1140, STR: 399, VIT: 149, SPD: 31, LUK: 1, Attack: 138878, Defense: 84168, Current HP: 1140, A Avg: 1156853, D Avg: 117835, [Big Bang[171, 0, 0, 0], Prism Shield[212, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 957: HP: 1064, STR: 399, VIT: 115, SPD: 31, LUK: 1, Attack: 138878, Defense: 84043, Current HP: 1064, A Avg: 1156853, D Avg: 117660, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 956: HP: 1406, STR: 399, VIT: 278, SPD: 31, LUK: 1, Attack: 138878, Defense: 84840, Current HP: 1406, A Avg: 1156853, D Avg: 118775, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 955: HP: 1314, STR: 399, VIT: 104, SPD: 31, LUK: 1, Attack: 138878, Defense: 84032, Current HP: 1314, A Avg: 1156853, D Avg: 117644, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 954: HP: 1040, STR: 399, VIT: 647, SPD: 31, LUK: 1, Attack: 138878, Defense: 87435, Current HP: 1040, A Avg: 1156853, D Avg: 122408, [Big Bang[171, 0, 0, 0], Energy Shield[227, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 953: HP: 2479, STR: 399, VIT: 63, SPD: 31, LUK: 1, Attack: 138878, Defense: 85980, Current HP: 2479, A Avg: 1156853, D Avg: 120371, [Big Bang[171, 0, 0, 0], Frying Pan[231, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 952: HP: 1584, STR: 399, VIT: 338, SPD: 31, LUK: 1, Attack: 138878, Defense: 85072, Current HP: 1584, A Avg: 1156853, D Avg: 119100, [Big Bang[171, 0, 0, 0], Slafield[232, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 951: HP: 1370, STR: 399, VIT: 278, SPD: 31, LUK: 1, Attack: 138878, Defense: 85753, Current HP: 1370, A Avg: 1156853, D Avg: 120054, [Big Bang[171, 0, 0, 0], Mist Shield[233, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 950: HP: 1178, STR: 399, VIT: 476, SPD: 31, LUK: 1, Attack: 138878, Defense: 85444, Current HP: 1178, A Avg: 1156853, D Avg: 119621, [Big Bang[171, 0, 0, 0], Huge Shield[234, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 949: HP: 1102, STR: 399, VIT: 599, SPD: 31, LUK: 1, Attack: 138878, Defense: 87439, Current HP: 1102, A Avg: 1156853, D Avg: 122414, [Big Bang[171, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 948: HP: 1610, STR: 399, VIT: 415, SPD: 31, LUK: 1, Attack: 138878, Defense: 87840, Current HP: 1610, A Avg: 1156853, D Avg: 122975, [Big Bang[171, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 947: HP: 988, STR: 399, VIT: 60, SPD: 31, LUK: 1, Attack: 138878, Defense: 86849, Current HP: 988, A Avg: 1156853, D Avg: 121588, [Big Bang[171, 0, 0, 0], Graffiti[243, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 946: HP: 988, STR: 399, VIT: 848, SPD: 31, LUK: 1, Attack: 138878, Defense: 90626, Current HP: 988, A Avg: 1156853, D Avg: 126876, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 945: HP: 1463, STR: 399, VIT: 1313, SPD: 31, LUK: 1, Attack: 138878, Defense: 88101, Current HP: 1463, A Avg: 1156853, D Avg: 123341, [Big Bang[171, 0, 0, 0], Golem Shield[245, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 944: HP: 1273, STR: 399, VIT: 396, SPD: 34, LUK: 1, Attack: 138878, Defense: 86274, Current HP: 1273, A Avg: 1156853, D Avg: 120783, [Big Bang[171, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 943: HP: 1649, STR: 399, VIT: 419, SPD: 31, LUK: 1, Attack: 138878, Defense: 86635, Current HP: 1649, A Avg: 1156853, D Avg: 121288, [Big Bang[171, 0, 0, 0], King Shield[248, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 942: HP: 1440, STR: 399, VIT: 632, SPD: 31, LUK: 1, Attack: 138878, Defense: 87667, Current HP: 1440, A Avg: 1156853, D Avg: 122733, [Big Bang[171, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 941: HP: 1040, STR: 399, VIT: 533, SPD: 31, LUK: 1, Attack: 138878, Defense: 87581, Current HP: 1040, A Avg: 1156853, D Avg: 122613, [Big Bang[171, 0, 0, 0], Ghost shield[251, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 940: HP: 1539, STR: 401, VIT: 645, SPD: 34, LUK: 1, Attack: 138881, Defense: 84670, Current HP: 1539, A Avg: 1156878, D Avg: 118537, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 939: HP: 1529, STR: 402, VIT: 310, SPD: 31, LUK: 1, Attack: 138883, Defense: 84199, Current HP: 1529, A Avg: 1156895, D Avg: 117878, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 938: HP: 2095, STR: 404, VIT: 159, SPD: 31, LUK: 1, Attack: 138886, Defense: 84048, Current HP: 2095, A Avg: 1156920, D Avg: 117667, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 937: HP: 1551, STR: 404, VIT: 149, SPD: 31, LUK: 2, Attack: 138886, Defense: 84038, Current HP: 1551, A Avg: 1156920, D Avg: 117653, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 936: HP: 1263, STR: 405, VIT: 241, SPD: 31, LUK: 2, Attack: 138887, Defense: 85105, Current HP: 1263, A Avg: 1156928, D Avg: 119146, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 935: HP: 1187, STR: 405, VIT: 278, SPD: 34, LUK: 2, Attack: 138887, Defense: 84700, Current HP: 1187, A Avg: 1156928, D Avg: 118579, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 934: HP: 811, STR: 4935, VIT: 278, SPD: 31, LUK: 1, Attack: 138894, Defense: 84284, Current HP: 811, A Avg: 1156987, D Avg: 117997, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 933: HP: 1244, STR: 410, VIT: 170, SPD: 31, LUK: 2, Attack: 138895, Defense: 84059, Current HP: 1244, A Avg: 1156995, D Avg: 117682, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 932: HP: 2720, STR: 4715, VIT: 998, SPD: 34, LUK: 1, Attack: 138896, Defense: 88826, Current HP: 2720, A Avg: 1157003, D Avg: 124356, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 931: HP: 1445, STR: 411, VIT: 325, SPD: 31, LUK: 1, Attack: 138896, Defense: 84331, Current HP: 1445, A Avg: 1157003, D Avg: 118063, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 930: HP: 1814, STR: 411, VIT: 730, SPD: 31, LUK: 1, Attack: 138896, Defense: 84970, Current HP: 1814, A Avg: 1157003, D Avg: 118957, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 929: HP: 1007, STR: 412, VIT: 149, SPD: 31, LUK: 1, Attack: 138898, Defense: 84155, Current HP: 1007, A Avg: 1157020, D Avg: 117816, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 928: HP: 988, STR: 412, VIT: 2031, SPD: 31, LUK: 1, Attack: 138898, Defense: 87701, Current HP: 988, A Avg: 1157020, D Avg: 122781, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 927: HP: 1974, STR: 413, VIT: 170, SPD: 31, LUK: 1, Attack: 138899, Defense: 84176, Current HP: 1974, A Avg: 1157028, D Avg: 117846, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 926: HP: 1467, STR: 413, VIT: 159, SPD: 31, LUK: 2, Attack: 138899, Defense: 84165, Current HP: 1467, A Avg: 1157028, D Avg: 117830, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 925: HP: 1339, STR: 419, VIT: 428, SPD: 34, LUK: 1, Attack: 138908, Defense: 86046, Current HP: 1339, A Avg: 1157103, D Avg: 120464, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 924: HP: 1172, STR: 420, VIT: 180, SPD: 31, LUK: 2, Attack: 138910, Defense: 84186, Current HP: 1172, A Avg: 1157120, D Avg: 117860, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 923: HP: 1667, STR: 422, VIT: 464, SPD: 36, LUK: 1, Attack: 138913, Defense: 86082, Current HP: 1667, A Avg: 1157145, D Avg: 120514, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 922: HP: 1192, STR: 422, VIT: 618, SPD: 34, LUK: 1, Attack: 138913, Defense: 85456, Current HP: 1192, A Avg: 1157145, D Avg: 119638, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 921: HP: 1503, STR: 425, VIT: 662, SPD: 36, LUK: 1, Attack: 138917, Defense: 85500, Current HP: 1503, A Avg: 1157178, D Avg: 119699, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 920: HP: 2024, STR: 426, VIT: 713, SPD: 31, LUK: 1, Attack: 138919, Defense: 86825, Current HP: 2024, A Avg: 1157195, D Avg: 121554, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 919: HP: 2772, STR: 428, VIT: 431, SPD: 31, LUK: 1, Attack: 138922, Defense: 86543, Current HP: 2772, A Avg: 1157220, D Avg: 121160, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 918: HP: 2047, STR: 428, VIT: 421, SPD: 31, LUK: 2, Attack: 138922, Defense: 86533, Current HP: 2047, A Avg: 1157220, D Avg: 121146, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 917: HP: 1931, STR: 429, VIT: 1879, SPD: 36, LUK: 1, Attack: 138923, Defense: 89447, Current HP: 1931, A Avg: 1157228, D Avg: 125225, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 916: HP: 1172, STR: 430, VIT: 197, SPD: 31, LUK: 1, Attack: 138925, Defense: 84138, Current HP: 1172, A Avg: 1157245, D Avg: 117793, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 915: HP: 1649, STR: 431, VIT: 645, SPD: 31, LUK: 1, Attack: 138926, Defense: 85145, Current HP: 1649, A Avg: 1157253, D Avg: 119202, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 914: HP: 1263, STR: 432, VIT: 524, SPD: 31, LUK: 2, Attack: 138928, Defense: 87325, Current HP: 1263, A Avg: 1157270, D Avg: 122254, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 913: HP: 1007, STR: 435, VIT: 130, SPD: 31, LUK: 1, Attack: 138932, Defense: 83993, Current HP: 1007, A Avg: 1157303, D Avg: 117590, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 912: HP: 1102, STR: 435, VIT: 230, SPD: 31, LUK: 1, Attack: 138932, Defense: 84093, Current HP: 1102, A Avg: 1157303, D Avg: 117730, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 911: HP: 1102, STR: 435, VIT: 151, SPD: 31, LUK: 1, Attack: 138932, Defense: 84014, Current HP: 1102, A Avg: 1157303, D Avg: 117619, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 910: HP: 893, STR: 2716, VIT: 483, SPD: 51, LUK: 1, Attack: 138937, Defense: 85074, Current HP: 893, A Avg: 1157345, D Avg: 119103, [Spectral Sword Shigure[172, 0, 0, 0], Black Hole[229, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 909: HP: 1073, STR: 2716, VIT: 522, SPD: 51, LUK: 1, Attack: 138937, Defense: 87440, Current HP: 1073, A Avg: 1157345, D Avg: 122415, [Spectral Sword Shigure[172, 0, 0, 0], White Hole[230, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 908: HP: 1856, STR: 438, VIT: 876, SPD: 31, LUK: 1, Attack: 138937, Defense: 86494, Current HP: 1856, A Avg: 1157345, D Avg: 121091, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 907: HP: 2916, STR: 6813, VIT: 728, SPD: 31, LUK: 1, Attack: 138939, Defense: 85956, Current HP: 2916, A Avg: 1157361, D Avg: 120338, [Spear of Regression[182, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 906: HP: 1133, STR: 2718, VIT: 894, SPD: 36, LUK: 1, Attack: 138940, Defense: 85485, Current HP: 1133, A Avg: 1157370, D Avg: 119678, [Spectral Sword Shigure[172, 0, 0, 0], Black Hole[229, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 905: HP: 1333, STR: 2718, VIT: 956, SPD: 36, LUK: 1, Attack: 138940, Defense: 87874, Current HP: 1333, A Avg: 1157370, D Avg: 123023, [Spectral Sword Shigure[172, 0, 0, 0], White Hole[230, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 904: HP: 1683, STR: 440, VIT: 1143, SPD: 31, LUK: 1, Attack: 138940, Defense: 85981, Current HP: 1683, A Avg: 1157370, D Avg: 120373, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
