Rank 1000: HP: 2088, STR: 1304, VIT: 122, SPD: 59, LUK: 1, Attack: 140236, Defense: 84466, Current HP: 2088, A Avg: 1168165, D Avg: 118252, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 955: HP: 4959, STR: 7749, VIT: 1286, SPD: 70, LUK: 1, Attack: 140343, Defense: 85630, Current HP: 4959, A Avg: 1169057, D Avg: 119881, [Spear of Regression[182, 0, 0, 0], V Magnum[238, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 954: HP: 1584, STR: 1385, VIT: 270, SPD: 59, LUK: 1, Attack: 140357, Defense: 84614, Current HP: 1584, A Avg: 1169173, D Avg: 118459, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 953: HP: 2185, STR: 7700, VIT: 1361, SPD: 70, LUK: 1, Attack: 140367, Defense: 88149, Current HP: 2185, A Avg: 1169257, D Avg: 123408, [Blue Sword[180, 0, 0, 0], C Magnum[239, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 952: HP: 1349, STR: 8652, VIT: 796, SPD: 66, LUK: 1, Attack: 140371, Defense: 88624, Current HP: 1349, A Avg: 1169290, D Avg: 124073, [Jack Knife[185, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 951: HP: 1576, STR: 3672, VIT: 626, SPD: 90, LUK: 1, Attack: 140371, Defense: 86244, Current HP: 1576, A Avg: 1169290, D Avg: 120741, [Spectral Sword Shigure[172, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 950: HP: 703, STR: 9004, VIT: 112, SPD: 55, LUK: 1, Attack: 140373, Defense: 87940, Current HP: 703, A Avg: 1169307, D Avg: 123115, [Magical[187, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 949: HP: 798, STR: 9004, VIT: 273, SPD: 55, LUK: 1, Attack: 140373, Defense: 88101, Current HP: 798, A Avg: 1169307, D Avg: 123341, [Magical[187, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 948: HP: 798, STR: 9004, VIT: 132, SPD: 55, LUK: 1, Attack: 140373, Defense: 87960, Current HP: 798, A Avg: 1169307, D Avg: 123143, [Magical[187, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 947: HP: 4674, STR: 7769, VIT: 888, SPD: 55, LUK: 1, Attack: 140373, Defense: 86116, Current HP: 4674, A Avg: 1169307, D Avg: 120562, [Spear of Regression[182, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 946: HP: 1360, STR: 3674, VIT: 852, SPD: 90, LUK: 1, Attack: 140374, Defense: 85690, Current HP: 1360, A Avg: 1169315, D Avg: 119965, [Spectral Sword Shigure[172, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 945: HP: 760, STR: 5926, VIT: 289, SPD: 59, LUK: 1, Attack: 140381, Defense: 84152, Current HP: 760, A Avg: 1169373, D Avg: 117812, [Neural Edge[190, 0, 0, 0], Small Sword[218, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 944: HP: 1349, STR: 6540, VIT: 796, SPD: 66, LUK: 1, Attack: 140387, Defense: 88624, Current HP: 1349, A Avg: 1169423, D Avg: 124073, [Tekken[188, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 943: HP: 1855, STR: 3687, VIT: 184, SPD: 59, LUK: 1, Attack: 140394, Defense: 84320, Current HP: 1855, A Avg: 1169482, D Avg: 118047, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 942: HP: 1386, STR: 3687, VIT: 174, SPD: 59, LUK: 2, Attack: 140394, Defense: 84310, Current HP: 1386, A Avg: 1169482, D Avg: 118033, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 941: HP: 2436, STR: 1413, VIT: 1228, SPD: 66, LUK: 1, Attack: 140399, Defense: 86846, Current HP: 2436, A Avg: 1169523, D Avg: 121584, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 940: HP: 1826, STR: 3691, VIT: 710, SPD: 63, LUK: 1, Attack: 140400, Defense: 84599, Current HP: 1826, A Avg: 1169531, D Avg: 118438, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 939: HP: 2177, STR: 1416, VIT: 1483, SPD: 66, LUK: 1, Attack: 140404, Defense: 86321, Current HP: 2177, A Avg: 1169565, D Avg: 120849, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 938: HP: 1520, STR: 3701, VIT: 513, SPD: 90, LUK: 1, Attack: 140415, Defense: 85377, Current HP: 1520, A Avg: 1169656, D Avg: 119527, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 937: HP: 1444, STR: 3701, VIT: 568, SPD: 94, LUK: 1, Attack: 140415, Defense: 84990, Current HP: 1444, A Avg: 1169656, D Avg: 118985, [Spectral Sword Shigure[172, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 936: HP: 1634, STR: 1426, VIT: 647, SPD: 55, LUK: 1, Attack: 140419, Defense: 87565, Current HP: 1634, A Avg: 1169690, D Avg: 122590, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 935: HP: 4598, STR: 5735, VIT: 1523, SPD: 55, LUK: 2, Attack: 140426, Defense: 89351, Current HP: 4598, A Avg: 1169748, D Avg: 125091, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 934: HP: 5244, STR: 7805, VIT: 622, SPD: 59, LUK: 1, Attack: 140427, Defense: 87410, Current HP: 5244, A Avg: 1169756, D Avg: 122373, [Spear of Regression[182, 0, 0, 0], C Magnum[239, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 933: HP: 1862, STR: 1434, VIT: 859, SPD: 55, LUK: 1, Attack: 140431, Defense: 87777, Current HP: 1862, A Avg: 1169790, D Avg: 122887, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 932: HP: 1364, STR: 3716, VIT: 393, SPD: 59, LUK: 1, Attack: 140437, Defense: 84529, Current HP: 1364, A Avg: 1169840, D Avg: 118340, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 931: HP: 722, STR: 5964, VIT: 112, SPD: 90, LUK: 1, Attack: 140438, Defense: 84300, Current HP: 722, A Avg: 1169848, D Avg: 118019, [Neural Edge[190, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 930: HP: 1539, STR: 5967, VIT: 651, SPD: 59, LUK: 1, Attack: 140442, Defense: 84787, Current HP: 1539, A Avg: 1169881, D Avg: 118701, [Neural Edge[190, 0, 0, 0], Magnum[237, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 929: HP: 1520, STR: 3720, VIT: 367, SPD: 90, LUK: 1, Attack: 140443, Defense: 84256, Current HP: 1520, A Avg: 1169890, D Avg: 117958, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 928: HP: 2337, STR: 1447, VIT: 1144, SPD: 66, LUK: 1, Attack: 140450, Defense: 86008, Current HP: 2337, A Avg: 1169948, D Avg: 120411, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 927: HP: 2261, STR: 1447, VIT: 1170, SPD: 70, LUK: 1, Attack: 140450, Defense: 85592, Current HP: 2261, A Avg: 1169948, D Avg: 119828, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 926: HP: 1292, STR: 1450, VIT: 112, SPD: 55, LUK: 2, Attack: 140455, Defense: 84300, Current HP: 1292, A Avg: 1169990, D Avg: 118019, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 925: HP: 780, STR: 5977, VIT: 713, SPD: 59, LUK: 1, Attack: 140457, Defense: 85304, Current HP: 780, A Avg: 1170006, D Avg: 119425, [Neural Edge[190, 0, 0, 0], Black Hole[229, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 924: HP: 1120, STR: 5977, VIT: 787, SPD: 59, LUK: 1, Attack: 140457, Defense: 87705, Current HP: 1120, A Avg: 1170006, D Avg: 122786, [Neural Edge[190, 0, 0, 0], White Hole[230, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 923: HP: 1269, STR: 3729, VIT: 346, SPD: 90, LUK: 1, Attack: 140457, Defense: 84846, Current HP: 1269, A Avg: 1170006, D Avg: 118784, [Spectral Sword Shigure[172, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 922: HP: 1684, STR: 3736, VIT: 727, SPD: 63, LUK: 1, Attack: 140467, Defense: 84733, Current HP: 1684, A Avg: 1170090, D Avg: 118626, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 921: HP: 4579, STR: 5768, VIT: 1502, SPD: 55, LUK: 2, Attack: 140475, Defense: 85690, Current HP: 4579, A Avg: 1170156, D Avg: 119965, [Wild Card[175, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 920: HP: 893, STR: 8112, VIT: 796, SPD: 55, LUK: 1, Attack: 140478, Defense: 84984, Current HP: 893, A Avg: 1170181, D Avg: 118977, [Zodiac[184, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 919: HP: 4959, STR: 7852, VIT: 1286, SPD: 66, LUK: 1, Attack: 140497, Defense: 85474, Current HP: 4959, A Avg: 1170340, D Avg: 119663, [Spear of Regression[182, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 918: HP: 4579, STR: 5786, VIT: 1502, SPD: 59, LUK: 2, Attack: 140502, Defense: 85846, Current HP: 4579, A Avg: 1170381, D Avg: 120184, [Wild Card[175, 0, 0, 0], V Magnum[238, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 917: HP: 1616, STR: 1488, VIT: 340, SPD: 63, LUK: 1, Attack: 140512, Defense: 84528, Current HP: 1616, A Avg: 1170464, D Avg: 118339, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 916: HP: 1390, STR: 3767, VIT: 377, SPD: 90, LUK: 1, Attack: 140514, Defense: 84383, Current HP: 1390, A Avg: 1170481, D Avg: 118136, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 915: HP: 1520, STR: 3769, VIT: 926, SPD: 90, LUK: 1, Attack: 140517, Defense: 87727, Current HP: 1520, A Avg: 1170506, D Avg: 122817, [Spectral Sword Shigure[172, 0, 0, 0], Riot[236, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 914: HP: 1420, STR: 6026, VIT: 796, SPD: 66, LUK: 1, Attack: 140531, Defense: 84519, Current HP: 1420, A Avg: 1170623, D Avg: 118326, [Neural Edge[190, 0, 0, 0], Pot Lid[201, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 913: HP: 1420, STR: 6026, VIT: 796, SPD: 66, LUK: 1, Attack: 140531, Defense: 84529, Current HP: 1420, A Avg: 1170623, D Avg: 118340, [Neural Edge[190, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 912: HP: 1349, STR: 6026, VIT: 846, SPD: 66, LUK: 1, Attack: 140531, Defense: 84715, Current HP: 1349, A Avg: 1170623, D Avg: 118600, [Neural Edge[190, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 911: HP: 1349, STR: 6026, VIT: 852, SPD: 66, LUK: 1, Attack: 140531, Defense: 84656, Current HP: 1349, A Avg: 1170623, D Avg: 118518, [Neural Edge[190, 0, 0, 0], Iron Shield[204, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 910: HP: 1349, STR: 6026, VIT: 909, SPD: 66, LUK: 1, Attack: 140531, Defense: 84772, Current HP: 1349, A Avg: 1170623, D Avg: 118680, [Neural Edge[190, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 909: HP: 1349, STR: 6026, VIT: 930, SPD: 66, LUK: 1, Attack: 140531, Defense: 84819, Current HP: 1349, A Avg: 1170623, D Avg: 118746, [Neural Edge[190, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 908: HP: 1420, STR: 6026, VIT: 948, SPD: 66, LUK: 1, Attack: 140531, Defense: 84824, Current HP: 1420, A Avg: 1170623, D Avg: 118753, [Neural Edge[190, 0, 0, 0], Magic Shield[207, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 907: HP: 1691, STR: 6026, VIT: 1057, SPD: 66, LUK: 1, Attack: 140531, Defense: 84894, Current HP: 1691, A Avg: 1170623, D Avg: 118851, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 906: HP: 1480, STR: 6026, VIT: 877, SPD: 66, LUK: 1, Attack: 140531, Defense: 84649, Current HP: 1480, A Avg: 1170623, D Avg: 118508, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 905: HP: 1520, STR: 6026, VIT: 948, SPD: 66, LUK: 1, Attack: 140531, Defense: 84967, Current HP: 1520, A Avg: 1170623, D Avg: 118953, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Black Box[323, 0, 0, 0]]
