Rank 1000: HP: 440, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 83980, Current HP: 440, A Avg: 8595801, D Avg: 117571, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 953: HP: 418, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87046, Current HP: 418, A Avg: 8595801, D Avg: 121864, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 952: HP: 418, STR: 602605, VIT: 423, SPD: 7, LUK: 1, Attack: 1031909, Defense: 90201, Current HP: 418, A Avg: 8595801, D Avg: 126281, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 951: HP: 893, STR: 602605, VIT: 704, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87492, Current HP: 893, A Avg: 8595801, D Avg: 122488, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 950: HP: 703, STR: 602605, VIT: 344, SPD: 8, LUK: 1, Attack: 1031909, Defense: 86222, Current HP: 703, A Avg: 8595801, D Avg: 120710, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 949: HP: 737, STR: 602605, VIT: 430, SPD: 7, LUK: 1, Attack: 1031909, Defense: 86646, Current HP: 737, A Avg: 8595801, D Avg: 121304, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 948: HP: 840, STR: 602605, VIT: 705, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87740, Current HP: 840, A Avg: 8595801, D Avg: 122835, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 947: HP: 440, STR: 602605, VIT: 356, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87404, Current HP: 440, A Avg: 8595801, D Avg: 122365, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 946: HP: 440, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 83980, Current HP: 440, A Avg: 8595801, D Avg: 117571, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 945: HP: 440, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 83990, Current HP: 440, A Avg: 8595801, D Avg: 117585, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 944: HP: 418, STR: 602605, VIT: 280, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84149, Current HP: 418, A Avg: 8595801, D Avg: 117808, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 943: HP: 418, STR: 602605, VIT: 287, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84091, Current HP: 418, A Avg: 8595801, D Avg: 117727, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 942: HP: 418, STR: 602605, VIT: 278, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84141, Current HP: 418, A Avg: 8595801, D Avg: 117797, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 941: HP: 418, STR: 602605, VIT: 300, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84189, Current HP: 418, A Avg: 8595801, D Avg: 117864, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 940: HP: 440, STR: 602605, VIT: 284, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84160, Current HP: 440, A Avg: 8595801, D Avg: 117823, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 939: HP: 475, STR: 602605, VIT: 295, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84132, Current HP: 475, A Avg: 8595801, D Avg: 117784, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 938: HP: 500, STR: 602605, VIT: 275, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84047, Current HP: 500, A Avg: 8595801, D Avg: 117665, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 937: HP: 540, STR: 602605, VIT: 284, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84303, Current HP: 540, A Avg: 8595801, D Avg: 118024, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 936: HP: 494, STR: 602605, VIT: 289, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84217, Current HP: 494, A Avg: 8595801, D Avg: 117903, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 935: HP: 596, STR: 602605, VIT: 319, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84881, Current HP: 596, A Avg: 8595801, D Avg: 118833, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 934: HP: 516, STR: 602605, VIT: 278, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84206, Current HP: 516, A Avg: 8595801, D Avg: 117888, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 933: HP: 440, STR: 602605, VIT: 626, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87414, Current HP: 440, A Avg: 8595801, D Avg: 122379, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 932: HP: 1482, STR: 602605, VIT: 269, SPD: 7, LUK: 1, Attack: 1031909, Defense: 86186, Current HP: 1482, A Avg: 8595801, D Avg: 120660, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 931: HP: 744, STR: 602605, VIT: 348, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85082, Current HP: 744, A Avg: 8595801, D Avg: 119114, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 930: HP: 620, STR: 602605, VIT: 319, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85794, Current HP: 620, A Avg: 8595801, D Avg: 120111, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 929: HP: 608, STR: 602605, VIT: 356, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85324, Current HP: 608, A Avg: 8595801, D Avg: 119453, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 928: HP: 532, STR: 602605, VIT: 485, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87325, Current HP: 532, A Avg: 8595801, D Avg: 122254, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 927: HP: 560, STR: 602605, VIT: 332, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87757, Current HP: 560, A Avg: 8595801, D Avg: 122859, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 926: HP: 418, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87046, Current HP: 418, A Avg: 8595801, D Avg: 121864, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 925: HP: 418, STR: 602605, VIT: 423, SPD: 7, LUK: 1, Attack: 1031909, Defense: 90201, Current HP: 418, A Avg: 8595801, D Avg: 126281, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 924: HP: 893, STR: 602605, VIT: 704, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87492, Current HP: 893, A Avg: 8595801, D Avg: 122488, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 923: HP: 703, STR: 602605, VIT: 344, SPD: 8, LUK: 1, Attack: 1031909, Defense: 86222, Current HP: 703, A Avg: 8595801, D Avg: 120710, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 922: HP: 737, STR: 602605, VIT: 430, SPD: 7, LUK: 1, Attack: 1031909, Defense: 86646, Current HP: 737, A Avg: 8595801, D Avg: 121304, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 921: HP: 840, STR: 602605, VIT: 705, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87740, Current HP: 840, A Avg: 8595801, D Avg: 122835, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 920: HP: 440, STR: 602605, VIT: 356, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87404, Current HP: 440, A Avg: 8595801, D Avg: 122365, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 919: HP: 1539, STR: 602088, VIT: 243, SPD: 7, LUK: 1, Attack: 1031910, Defense: 86160, Current HP: 1539, A Avg: 8595810, D Avg: 120623, [Santoku[159, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 918: HP: 1539, STR: 602088, VIT: 243, SPD: 7, LUK: 1, Attack: 1031910, Defense: 86160, Current HP: 1539, A Avg: 8595810, D Avg: 120623, [Santoku[159, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 917: HP: 1539, STR: 602088, VIT: 243, SPD: 7, LUK: 1, Attack: 1031910, Defense: 86160, Current HP: 1539, A Avg: 8595810, D Avg: 120623, [Santoku[159, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 916: HP: 1539, STR: 602088, VIT: 243, SPD: 7, LUK: 1, Attack: 1031910, Defense: 86160, Current HP: 1539, A Avg: 8595810, D Avg: 120623, [Santoku[159, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 915: HP: 1539, STR: 602088, VIT: 243, SPD: 7, LUK: 1, Attack: 1031910, Defense: 86160, Current HP: 1539, A Avg: 8595810, D Avg: 120623, [Santoku[159, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 914: HP: 418, STR: 602648, VIT: 284, SPD: 8, LUK: 1, Attack: 1031973, Defense: 84309, Current HP: 418, A Avg: 8596335, D Avg: 118032, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 913: HP: 418, STR: 602648, VIT: 284, SPD: 8, LUK: 1, Attack: 1031973, Defense: 84309, Current HP: 418, A Avg: 8596335, D Avg: 118032, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 912: HP: 418, STR: 602648, VIT: 284, SPD: 8, LUK: 1, Attack: 1031973, Defense: 84309, Current HP: 418, A Avg: 8596335, D Avg: 118032, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 911: HP: 418, STR: 602648, VIT: 284, SPD: 8, LUK: 1, Attack: 1031973, Defense: 84309, Current HP: 418, A Avg: 8596335, D Avg: 118032, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 910: HP: 418, STR: 602648, VIT: 284, SPD: 8, LUK: 1, Attack: 1031973, Defense: 84309, Current HP: 418, A Avg: 8596335, D Avg: 118032, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 909: HP: 516, STR: 602652, VIT: 306, SPD: 7, LUK: 1, Attack: 1031979, Defense: 84247, Current HP: 516, A Avg: 8596385, D Avg: 117945, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 908: HP: 516, STR: 602652, VIT: 306, SPD: 7, LUK: 1, Attack: 1031979, Defense: 84247, Current HP: 516, A Avg: 8596385, D Avg: 117945, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 907: HP: 516, STR: 602652, VIT: 306, SPD: 7, LUK: 1, Attack: 1031979, Defense: 84247, Current HP: 516, A Avg: 8596385, D Avg: 117945, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 906: HP: 516, STR: 602652, VIT: 306, SPD: 7, LUK: 1, Attack: 1031979, Defense: 84247, Current HP: 516, A Avg: 8596385, D Avg: 117945, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 905: HP: 516, STR: 602652, VIT: 306, SPD: 7, LUK: 1, Attack: 1031979, Defense: 84247, Current HP: 516, A Avg: 8596385, D Avg: 117945, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 904: HP: 496, STR: 602662, VIT: 315, SPD: 7, LUK: 1, Attack: 1031994, Defense: 85933, Current HP: 496, A Avg: 8596510, D Avg: 120306, [Impulse[166, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 903: HP: 496, STR: 602662, VIT: 315, SPD: 7, LUK: 1, Attack: 1031994, Defense: 85933, Current HP: 496, A Avg: 8596510, D Avg: 120306, [Impulse[166, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
