Rank 108413: 82335 - [387, 107252, 000] - HP: 650, STR: 267, VIT: 821, SPD: 27, LUK: 1, Attack: 132651, Defense: 90599, Current HP: 650, A Avg: 1104982, D Avg: 126838, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 108413: 101453 - [387, 107252, 000] - HP: 332, STR: 1163, VIT: 934, SPD: 23, LUK: 1, Attack: 129138, Defense: 90712, Current HP: 332, A Avg: 1075719, D Avg: 126996, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108413: 101454 - [387, 107252, 000] - HP: 323, STR: 1173, VIT: 934, SPD: 23, LUK: 1, Attack: 129153, Defense: 90712, Current HP: 323, A Avg: 1075844, D Avg: 126996, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108413: 103845 - [387, 107252, 000] - HP: 332, STR: 1226, VIT: 934, SPD: 23, LUK: 1, Attack: 128706, Defense: 90712, Current HP: 332, A Avg: 1072120, D Avg: 126996, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108413: 103846 - [387, 107252, 000] - HP: 323, STR: 1590, VIT: 934, SPD: 23, LUK: 1, Attack: 129252, Defense: 90712, Current HP: 323, A Avg: 1076669, D Avg: 126996, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108413: 105041 - [387, 107252, 000] - HP: 332, STR: 523, VIT: 934, SPD: 23, LUK: 1, Attack: 131362, Defense: 90712, Current HP: 332, A Avg: 1094245, D Avg: 126996, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108413: 105042 - [387, 107252, 000] - HP: 323, STR: 417, VIT: 934, SPD: 23, LUK: 1, Attack: 131203, Defense: 90712, Current HP: 323, A Avg: 1092920, D Avg: 126996, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108413: 106237 - [387, 107252, 000] - HP: 332, STR: -29321, VIT: 934, SPD: 23, LUK: 1, Attack: 104918, Defense: 90712, Current HP: 332, A Avg: 873966, D Avg: 126996, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108413: 106238 - [387, 107252, 000] - HP: 323, STR: -29310, VIT: 934, SPD: 23, LUK: 1, Attack: 104935, Defense: 90712, Current HP: 323, A Avg: 874108, D Avg: 126996, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108413: 107433 - [387, 107252, 000] - HP: 332, STR: 1646, VIT: 934, SPD: 23, LUK: 1, Attack: 133961, Defense: 90712, Current HP: 332, A Avg: 1115895, D Avg: 126996, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108413: 107434 - [387, 107252, 000] - HP: 323, STR: 1656, VIT: 934, SPD: 23, LUK: 1, Attack: 133976, Defense: 90712, Current HP: 323, A Avg: 1116020, D Avg: 126996, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108417: 994 - [389, 107250, 000] - HP: 323, STR: 60, VIT: 965, SPD: 23, LUK: 1, Attack: 125679, Defense: 90743, Current HP: 323, A Avg: 1046906, D Avg: 127040, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 999 - [389, 107250, 000] - HP: 594, STR: 50, VIT: 965, SPD: 23, LUK: 1, Attack: 125664, Defense: 90743, Current HP: 594, A Avg: 1046781, D Avg: 127040, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 1009 - [389, 107250, 000] - HP: 484, STR: 100, VIT: 1008, SPD: 23, LUK: 1, Attack: 125739, Defense: 90786, Current HP: 484, A Avg: 1047405, D Avg: 127100, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 1011 - [389, 107250, 000] - HP: 589, STR: 508, VIT: 921, SPD: 28, LUK: 1, Attack: 126351, Defense: 90699, Current HP: 589, A Avg: 1052503, D Avg: 126978, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 2190 - [389, 107250, 000] - HP: 323, STR: 60, VIT: 965, SPD: 23, LUK: 1, Attack: 125738, Defense: 90743, Current HP: 323, A Avg: 1047397, D Avg: 127040, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 2195 - [389, 107250, 000] - HP: 594, STR: 50, VIT: 965, SPD: 23, LUK: 1, Attack: 125723, Defense: 90743, Current HP: 594, A Avg: 1047272, D Avg: 127040, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 2205 - [389, 107250, 000] - HP: 484, STR: 100, VIT: 1008, SPD: 23, LUK: 1, Attack: 125798, Defense: 90786, Current HP: 484, A Avg: 1047897, D Avg: 127100, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 2207 - [389, 107250, 000] - HP: 589, STR: 508, VIT: 921, SPD: 28, LUK: 1, Attack: 126410, Defense: 90699, Current HP: 589, A Avg: 1052995, D Avg: 126978, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 3386 - [389, 107250, 000] - HP: 323, STR: 67, VIT: 965, SPD: 23, LUK: 1, Attack: 125758, Defense: 90743, Current HP: 323, A Avg: 1047564, D Avg: 127040, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 3391 - [389, 107250, 000] - HP: 594, STR: 56, VIT: 965, SPD: 23, LUK: 1, Attack: 125742, Defense: 90743, Current HP: 594, A Avg: 1047430, D Avg: 127040, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 3401 - [389, 107250, 000] - HP: 484, STR: 107, VIT: 1008, SPD: 23, LUK: 1, Attack: 125818, Defense: 90786, Current HP: 484, A Avg: 1048063, D Avg: 127100, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 3403 - [389, 107250, 000] - HP: 589, STR: 517, VIT: 921, SPD: 28, LUK: 1, Attack: 126433, Defense: 90699, Current HP: 589, A Avg: 1053186, D Avg: 126978, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 4582 - [389, 107250, 000] - HP: 323, STR: 100, VIT: 965, SPD: 23, LUK: 1, Attack: 125866, Defense: 90743, Current HP: 323, A Avg: 1048463, D Avg: 127040, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 4587 - [389, 107250, 000] - HP: 594, STR: 90, VIT: 965, SPD: 23, LUK: 1, Attack: 125851, Defense: 90743, Current HP: 594, A Avg: 1048338, D Avg: 127040, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 4597 - [389, 107250, 000] - HP: 484, STR: 140, VIT: 1008, SPD: 23, LUK: 1, Attack: 125926, Defense: 90786, Current HP: 484, A Avg: 1048963, D Avg: 127100, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 4599 - [389, 107250, 000] - HP: 589, STR: 567, VIT: 921, SPD: 28, LUK: 1, Attack: 126567, Defense: 90699, Current HP: 589, A Avg: 1054303, D Avg: 126978, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 5778 - [389, 107250, 000] - HP: 323, STR: 153, VIT: 965, SPD: 23, LUK: 1, Attack: 125887, Defense: 90743, Current HP: 323, A Avg: 1048638, D Avg: 127040, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 5783 - [389, 107250, 000] - HP: 594, STR: 109, VIT: 965, SPD: 23, LUK: 1, Attack: 125821, Defense: 90743, Current HP: 594, A Avg: 1048088, D Avg: 127040, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 5793 - [389, 107250, 000] - HP: 484, STR: 159, VIT: 1008, SPD: 23, LUK: 1, Attack: 125896, Defense: 90786, Current HP: 484, A Avg: 1048713, D Avg: 127100, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 5795 - [389, 107250, 000] - HP: 589, STR: 595, VIT: 921, SPD: 28, LUK: 1, Attack: 126550, Defense: 90699, Current HP: 589, A Avg: 1054161, D Avg: 126978, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 6974 - [389, 107250, 000] - HP: 323, STR: 90, VIT: 965, SPD: 23, LUK: 1, Attack: 125871, Defense: 90743, Current HP: 323, A Avg: 1048505, D Avg: 127040, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 6979 - [389, 107250, 000] - HP: 594, STR: 79, VIT: 965, SPD: 23, LUK: 1, Attack: 125854, Defense: 90743, Current HP: 594, A Avg: 1048363, D Avg: 127040, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 6989 - [389, 107250, 000] - HP: 484, STR: 130, VIT: 1008, SPD: 23, LUK: 1, Attack: 125931, Defense: 90786, Current HP: 484, A Avg: 1049005, D Avg: 127100, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 6991 - [389, 107250, 000] - HP: 589, STR: 551, VIT: 921, SPD: 28, LUK: 1, Attack: 126562, Defense: 90699, Current HP: 589, A Avg: 1054261, D Avg: 126978, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 8170 - [389, 107250, 000] - HP: 323, STR: 130, VIT: 965, SPD: 23, LUK: 1, Attack: 125960, Defense: 90743, Current HP: 323, A Avg: 1049246, D Avg: 127040, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 8175 - [389, 107250, 000] - HP: 594, STR: 119, VIT: 965, SPD: 23, LUK: 1, Attack: 125943, Defense: 90743, Current HP: 594, A Avg: 1049105, D Avg: 127040, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 8185 - [389, 107250, 000] - HP: 484, STR: 170, VIT: 1008, SPD: 23, LUK: 1, Attack: 126020, Defense: 90786, Current HP: 484, A Avg: 1049746, D Avg: 127100, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 8187 - [389, 107250, 000] - HP: 589, STR: 610, VIT: 921, SPD: 28, LUK: 1, Attack: 126680, Defense: 90699, Current HP: 589, A Avg: 1055244, D Avg: 126978, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 9366 - [389, 107250, 000] - HP: 342, STR: 130, VIT: 965, SPD: 23, LUK: 1, Attack: 126028, Defense: 90743, Current HP: 342, A Avg: 1049813, D Avg: 127040, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 9371 - [389, 107250, 000] - HP: 616, STR: 119, VIT: 965, SPD: 23, LUK: 1, Attack: 126012, Defense: 90743, Current HP: 616, A Avg: 1049679, D Avg: 127040, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 9381 - [389, 107250, 000] - HP: 506, STR: 170, VIT: 1008, SPD: 23, LUK: 1, Attack: 126088, Defense: 90786, Current HP: 506, A Avg: 1050313, D Avg: 127100, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 9383 - [389, 107250, 000] - HP: 608, STR: 610, VIT: 921, SPD: 28, LUK: 1, Attack: 126748, Defense: 90699, Current HP: 608, A Avg: 1055810, D Avg: 126978, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 10562 - [389, 107250, 000] - HP: 323, STR: 60, VIT: 965, SPD: 23, LUK: 1, Attack: 125742, Defense: 90743, Current HP: 323, A Avg: 1047430, D Avg: 127040, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 10567 - [389, 107250, 000] - HP: 594, STR: 50, VIT: 965, SPD: 23, LUK: 1, Attack: 125727, Defense: 90743, Current HP: 594, A Avg: 1047305, D Avg: 127040, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 10577 - [389, 107250, 000] - HP: 484, STR: 100, VIT: 1008, SPD: 23, LUK: 1, Attack: 125802, Defense: 90786, Current HP: 484, A Avg: 1047930, D Avg: 127100, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 10579 - [389, 107250, 000] - HP: 589, STR: 508, VIT: 921, SPD: 28, LUK: 1, Attack: 126414, Defense: 90699, Current HP: 589, A Avg: 1053028, D Avg: 126978, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 11753 - [389, 107250, 000] - HP: 342, STR: 109, VIT: 965, SPD: 23, LUK: 1, Attack: 125928, Defense: 90743, Current HP: 342, A Avg: 1048980, D Avg: 127040, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108417: 11754 - [389, 107250, 000] - HP: 332, STR: 119, VIT: 965, SPD: 23, LUK: 1, Attack: 125943, Defense: 90743, Current HP: 332, A Avg: 1049105, D Avg: 127040, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108417: 11758 - [389, 107250, 000] - HP: 332, STR: 210, VIT: 996, SPD: 23, LUK: 1, Attack: 126080, Defense: 90774, Current HP: 332, A Avg: 1050246, D Avg: 127083, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
